cue_id,img_txt,freq
9257,Attest,1226
9258,Annoying,13329
9259,Agile,631
9260,Agreeable,656
9261,Authoritative,2028
9262,Altercation,147
9263,Attractive,12510
9264,Australian,13068
9265,Amorphous,454
9266,Apparition,300
9267,Apocryphal,335
9268,Adduced,78
9498,Astute,767
9507,Autochthonic,0
9269,Basin,2140
9270,Bright,13726
9271,Bubbles,2055
9272,Burl,134
9273,Bemused,281
9274,Bathetic,0
10488,Brobdingnagian,0
9275,Caress,1125
9277,Certify,848
9278,Continuous,8212
9279,Clear,77302
9281,Consequence,4391
9282,Creep,1793
9284,Canonical,1510
9285,Conflate,48
9286,Censure,536
9287,Conference,51735
9288,Convention,15478
9289,Cacophony,141
9290,Cumbersome,1156
9291,Corroboree,3
9292,Colourful,306
9293,Connotation,1011
9294,Cited,7236
9295,Cynosure,52
9296,Concentrate,6190
9486,Chatoyant,0
9487,Casuistic,2
9516,Crepuscule,0
9297,Defence,6847
9299,Discuss,30217
9301,Distinct,7191
9302,Deliberate,3342
9303,Distract,1191
9304,Doubtful,1911
9305,Denote,979
9306,Disapproval,613
9307,Deceive,1300
9308,Desultory,81
9309,Disingenuous,529
9310,Diaphanous,33
9311,Din,3775
9312,Dibs,333
9313,Dulcet,27
9314,Different,223502
9496,Dalliance,42
9504,Diurnally,0
9517,Dusk,795
9522,Daily,39093
9316,Extravagant,380
9317,Effervescence,17
9318,Epistle,288
9319,Evocative,302
9320,Eloquent,887
9321,Elide,28
9322,Enervation,9
9323,Elocution,44
9324,Erstwhile,0
9325,Ephemeral,294
9326,Efflorescent,9
9484,Ebullient,21
9520,Enthusiastic,2608
9327,Fortitude,519
9329,Fortunate,3159
9331,Finite,4199
9332,Fluorescent,975
9333,Fast,77003
9334,Famished,55
9335,Fluent,1891
9336,Fatigue,3776
9337,Fulgent,0
9338,Firm,34530
9339,Fixed,30688
9340,Fleeting,470
9341,Filmy,70
9342,Firmament,115
9343,Furtive,116
9344,Focus,27452
9345,Floral,2426
9481,Facile,544
9483,Fetch,3202
9497,Furbelow,0
9501,Fling,766
9506,Fragrant,517
9508,Foreboding,136
9518,Fortuitous,113
9346,Glib,343
9347,Gush,443
9348,Golden,17531
9349,Gilt,374
9350,Glowing,2005
9351,Gathering,8601
9510,Graceful,899
9512,Gnarled,123
10489,Giant,35553
9353,Hungry,6300
9354,Halcyon,299
9355,Hummock,0
9356,Heterogeneous,1219
9357,Harem,535
9519,Heavenly,2482
9358,Insignificant,2403
9359,Immortal,4124
9360,Indicate,22492
9361,Immature,2842
9362,Irritating,2247
9363,Imbroglio,34
9364,Insouciance,11
9365,Inclination,1600
9366,Ineffable,202
9495,Inane,1335
9503,Ilk,2163
9514,Indigenous,3716
9367,Juvenile,2033
9369,Jumper,5765
9370,Keep,183906
9371,Kip,499
9372,Knoll,530
9521,Kind,131849
9373,Languid,55
9375,Lavish,508
9376,Lithe,201
9377,Limited,63816
9378,Lucid,4178
9379,Leisurely,432
9380,Luminous,480
9381,Lucky,17795
9382,Letter,58299
9383,Lassitude,29
9384,Lurid,268
9385,Lissome,0
9479,Lush,1018
9494,Lustrous,185
9386,Measure,19777
9387,Maintain,27327
9388,Mellifluous,39
9389,Means,130928
9390,Moody,1563
9391,Nostalgic,835
9392,Nonchalance,35
9393,Nefarious,608
9394,Novice,5242
9395,Nonplussed,84
9499,Nonsense,9843
9396,Obtain,25096
9485,Opulent,106
9397,Perceive,3388
9398,Personable,300
9399,Prickling,22
9400,Present,65134
9401,Protection,32877
9402,Pull,28190
9403,Perpetual,1916
9404,Planned,13957
9405,Place,195199
9406,Premeditated,283
9407,Pageant,276
9408,Past,89390
9409,Performance,73651
9410,Penumbra,43
9411,Prevaricate,13
9412,Pensive,117
9413,Propinquity,21
9414,Perspicacious,44
9415,Perambulate,17
9416,Prong,486
9489,Perverse,1116
9502,Piffle,92
9511,Portentous,36
10490,Prodigious,183
9417,Quantify,847
9418,Radiant,623
9419,Refine,763
9420,Rest,78610
9422,Result,66995
9424,Room,85138
9425,Remaining,13693
9490,Redolent,38
9493,Resplendent,345
9426,Strength,25721
9427,Sidetrack,115
9428,Shape,23161
9429,Stroke,6062
9430,Security,62549
9431,Scorching,197
9432,Sink,8579
9433,Sit,25658
9434,Sneak,2639
9435,Space,113076
9436,Spout,1085
9437,Sense,77530
9438,Singular,2062
9439,Sweater,1314
9440,Small,158742
9441,Scintilla,36
9442,Suggestive,606
9443,Slow,43719
9444,Sweet,15494
9445,Shapeless,139
9446,Strine,0
9447,Spirit,40804
9448,Separate,36232
9449,Shadow,17543
9450,Sky,19795
9451,Surreptitious,74
9452,Stroll,562
9453,Seraglio,14
9482,Supernal,10
9488,Susurrous,0
9500,Sumptuous,175
9509,Sophist,59
9515,Serendipitous,0
9454,Tasty,2008
9455,Tingling,601
9458,Take,330816
9459,Trace,8554
9460,Tradition,13864
9461,Try,272681
9462,Tendency,5954
9463,Tragic,2786
9464,Tine,220
9492,Trimming,991
9505,Twilight,2616
9513,Thrawn,0
9530,Throw,28289
9465,Undying,376
9466,Unsure,3230
9467,Unique,24825
9468,Underhanded,321
9469,Unutterable,19
9470,Vista,3346
9471,Vestigial,129
9472,Verisimilitude,40
9474,Wistful,186
9475,Witty,2411
9476,Withering,589
9477,Winsome,89
9478,Wherewithal,132
9480,Whispering,940
9491,Welkin,6
