cue_id,img_txt,freq
8573,Accent,5213
8575,Attest,1226
8576,Annoying,13329
8577,Agile,631
8578,Agreeable,656
8579,Authoritative,2028
8580,Altercation,147
8581,Attractive,12510
8582,Australian,13068
8583,Amorphous,454
8584,Apparition,300
8801,Apocryphal,335
8585,Basin,2140
8586,Bright,13726
8587,Bubbles,2055
8588,Brave,5524
8798,Burl,134
8589,Caress,1125
8590,Cobber,12
8591,Certify,848
8592,Celebrate,3175
8593,Commemorate,566
8594,Continuous,8212
8595,Clear,77302
8596,Candid,647
8597,Consequence,4391
8599,Creep,1793
8600,Calm,6300
8601,Cabin,3130
8602,Canonical,1510
8603,Conflate,48
8604,Censure,536
8605,Conference,51735
8606,Convention,15478
8607,Cacophony,141
8790,Cumbersome,1156
8795,Corroboree,3
8802,Colourful,306
8608,Defence,6847
8609,Discontinue,758
8610,Discuss,30217
8611,Dance,26125
8612,Distinct,7191
8614,Deliberate,3342
8617,Distract,1191
8618,Doubtful,1911
8619,Denote,979
8620,Draw,26592
8621,Disapproval,613
8622,Deceive,1300
8623,Desultory,81
8624,Disingenuous,529
8625,Diaphanous,33
8626,Din,3775
8627,Dibs,333
10498,Dissemble,40
8630,Expel,536
8632,Extend,9373
8633,Extravagant,380
8634,Effervescence,17
8635,Epistle,288
8636,Evocative,302
8637,Eloquent,887
8638,Elide,28
8639,Enervation,9
8640,Elocution,44
8641,Erstwhile,0
8642,Ephemeral,294
8643,Fortitude,519
8644,Frank,34023
8645,Fortunate,3159
8646,Friend,81053
8647,Finite,4199
8648,Funny,36714
8649,Fluorescent,975
8650,Fast,77003
8651,Famished,55
8653,Fluent,1891
8654,Fatigue,3776
8655,Fulgent,0
8656,Firm,34530
8657,Fixed,30688
8658,Fleeting,470
8659,Filmy,70
8794,Firmament,115
8660,Glib,343
8661,Gush,443
8662,Golden,17531
8663,Gilt,374
8664,Glowing,2005
8789,Gathering,8601
8665,Humorous,2866
8666,Hut,1868
8667,Happiness,8685
8668,Hungry,6300
8669,Halcyon,299
8670,Hummock,0
8671,Insignificant,2403
8672,Immortal,4124
8673,Indicate,22492
8674,Immature,2842
8675,Illustrate,3107
8676,Irritating,2247
8678,Imbroglio,34
8679,Insouciance,11
10497,Insincere,270
10499,Ingenuous,73
8680,Juvenile,2033
8681,Jig,887
8682,Jumper,5765
8683,Keep,183906
8684,Kip,499
8685,Knoll,530
8686,Languid,55
8687,Language,97874
8688,Lavish,508
8689,Lithe,201
8690,Limited,63816
8691,Lucid,4178
8692,Leisurely,432
8693,Luminous,480
8694,Lucky,17795
8695,Letter,58299
8696,Lassitude,29
8803,Lurid,268
8697,Measure,19777
8698,Maintain,27327
8699,Mellifluous,39
8788,Means,130928
8792,Moody,1563
8700,Nostalgic,835
8701,Nonchalance,35
8702,Nefarious,608
8703,Novice,5242
8704,Obtain,25096
8705,Perceive,3388
8706,Personable,300
8707,Prickling,22
8708,Present,65134
8709,Protection,32877
8710,Pull,28190
8712,Perpetual,1916
8713,Planned,13957
8715,Place,195199
8716,Premeditated,283
8718,Pageant,276
8719,Past,89390
8720,Performance,73651
8721,Penumbra,43
8722,Prevaricate,13
8800,Pensive,117
8723,Quantify,847
8725,Radiant,623
8726,Revere,508
8727,Refine,763
8728,Rest,78610
8729,Roll,21720
8730,Reject,7470
8731,Result,66995
8732,Retreat,3082
8733,Room,85138
8796,Remaining,13693
8734,Strength,25721
8735,Sidetrack,115
8736,Shape,23161
8737,Stroke,6062
8738,Security,62549
8740,Scorching,197
8742,Sink,8579
8745,Still,363407
8747,Sit,25658
8748,Sneak,2639
8749,Space,113076
8750,Sketch,2053
8751,Spout,1085
8752,Sense,77530
8753,Singular,2062
8754,Stretch,9424
8755,Sweater,1314
8756,Small,158742
8757,Scintilla,36
8758,Suggestive,606
8759,Slow,43719
8760,Sweet,15494
8761,Shapeless,139
8762,Strine,0
8763,Spirit,40804
8764,Separate,36232
8765,Shadow,17543
8799,Sky,19795
8766,Tasty,2008
8767,Tingling,601
8768,Talk,91547
8769,Tongue,14963
8770,Take,330816
8771,Tumble,568
8772,Trace,8554
8773,Tradition,13864
8797,Try,272681
8774,Undying,376
8775,Unsure,3230
8776,Unique,24825
8777,Urn,259
8778,Underhanded,321
8779,Vase,540
8780,Vista,3346
8793,Vestigial,129
8781,Withdraw,5353
8782,Wistful,186
8784,Witty,2411
8785,Withering,589
8787,Winsome,89
8791,Wherewithal,132
