cue_id,img_txt,freq
9690,Acquiesce,108
9685,Affluence,188
10406,Akin,2436
9692,Alacrity,73
9693,Ameliorate,165
9684,Ancient,18204
9691,Apathy,1017
9683,Artifice,131
9689,Assist,13081
10409,Baffling,274
9697,Bald,2764
9800,Barrack,69
9703,Beautiful,31342
9699,Better,284711
9700,Bitter,5910
9694,Bland,1678
9698,Bless,3927
9804,Blue,89005
9695,Blunt,1713
9701,Brave,5524
9696,Bright,13726
10414,Cautious,1959
9802,Cheerful,699
9712,Churlish,71
10413,Circumspect,156
9708,Clean,36257
9709,Clear,77302
9706,Clumsy,1382
10394,Cogent,695
10390,Collate,168
9705,Confess,2702
9715,Confess,2702
9710,Confident,5460
9707,Cool,49548
9711,Cowardly,1251
10393,Credulous,136
9704,Cruel,5177
9716,Dark,71249
9718,Demur,45
10404,Different,223502
9717,Dirty,14094
10398,Doughty,261
9713,Drain,14860
9720,Early,75759
9727,Established,24142
9726,Exacerbate,333
9724,Excoriate,19
9725,Exile,2654
9722,Exit,25629
9721,Expert,19795
10412,Extract,8209
9723,Extrovert,50
9729,Fill,26443
10407,Foreign,42189
9738,Gallant,481
10402,Gather,7255
9735,Gelid,4648
9733,Generous,510
9736,Germane,0
9732,Give,230878
9737,Glacial,1714
9801,Glum,69
9730,Graceful,899
9731,Grow,24803
9734,Guilty,12515
9743,Heal,4319
9739,Heat,28372
9741,Heavy,32826
9745,HelP,335483
9746,Hideous,1645
9744,Hinder,908
9742,Hirsute,92
10392,Homogeneous,725
9740,Hungry,6300
10391,Illicit,1312
10397,Imbue,0
9797,Impecunious,10
10399,Impetuous,95
10395,Incipient,200
10396,Indubitable,25
9748,Ingress,296
9747,Innocent,12203
9749,Irrelevant,11614
9805,Jocund,1
9751,Joy,11703
9750,Just,1020539
9752,Kind,131849
9754,Late,55030
9756,Laud,182
10401,Lawful,1805
9755,Lethargy,237
9753,Light,96805
9798,Loaded,18267
9803,Lugubrious,34
9758,Miserly,84
10415,Misfortune,864
9806,Morose,104
9757,Mountainous,490
9764,Nascent,269
9760,Nature,51563
9761,Necessitate,573
9759,Nervous,6719
9763,New,709084
9762,Novice,5242
9765,Obviate,142
9767,Old,238321
9766,Opaque,961
9772,Peak,8419
9773,Pleasant,6736
9769,Poverty,7521
9771,Praise,5984
9770,Premeditated,283
9768,Punctual,70
10411,Questionable,3842
9775,Repatriate,69
9774,Replete,387
10417,Resolute,165
10405,Same,401465
10403,Scatter,845
10408,Sceptical,542
10400,Serendipity,188
9782,Sharp,12847
9780,shy,4115
9783,Sorrow,1512
9796,Spicy,847
9777,Spontaneous,2391
9778,Strength,25721
9781,Sully,159
9784,Sultry,247
9799,Support,248197
9776,Surly,334
9779,Sweet,15494
9785,Swift,4024
9786,Tardy,88
9788,Transparent,5589
9787,Trough,990
10410,Ultimate,16369
9795,Vapid,205
9790,Vex,124
9789,Vilify,101
10416,Wavering,286
9792,Weakness,5396
9791,Wither,451
9793,Worse,34812
9794,Young,66849
