cue_id,img_txt,freq
9807,Artifice,131
9808,Ancient,18204
9809,Affluence,188
9810,Assist,13081
9811,Acquiesce,108
9812,Apathy,1017
9813,Alacrity,73
9814,Ameliorate,165
10383,Collate,168
10384,Illicit,1312
10386,Cogent,695
10387,Incipient,200
10388,Indubitable,25
10418,Disgruntling,0
10419,Credulous,136
10420,Conflate,48
10421,Perfunctory,111
10422,Callow,135
10423,Imbue,0
10424,Censure,536
10425,Dotage,17
10426,Supercilious,86
10427,Impetuous,95
10428,Serendipity,188
10429,Diurnal,100
10430,Gather,7255
10431,Scatter,845
10432,Lawful,1805
10433,Baffling,274
10434,Questionable,3842
10435,Doughty,261
10436,Wavering,286
10437,Resolute,165
10438,Ultimate,16369
10439,Delightful,1704
10440,Sceptical,542
10441,Separate,36232
10442,Enthusiastic,2608
10443,Wise,13444
10444,Extract,8209
10445,APProve,4965
10446,Youth,14084
10447,Unctuous,108
10448,Haughty,252
10449,Misfortune,864
10450,Circumspect,156
10451,Cautious,1959
10452,Nocturnal,543
9815,Bland,1678
9816,Blunt,1713
9817,Bright,13726
9818,Bald,2764
9821,Bitter,5910
9823,Beautiful,31342
9824,Barrack,69
9825,Blue,89005
9935,Boon,2284
9826,Cruel,5177
9827,Confess,2702
9828,Clumsy,1382
9830,Clean,36257
9834,Churlish,71
9835,Cheerful,699
9932,Capricious,352
9836,Drain,14860
9837,pen)„Ž,7902
9838,Dark,71249
9839,Dirt,7642
9840,Demur,45
9841,Desultory,81
9927,Deliberate,3342
9842,Early,75759
9843,Expert,19795
9844,Exit,25629
9845,Extrovert,50
9846,Excoriate,19
9847,Exile,2654
9848,Exacerbate,333
9849,Established,24142
9850,Fill,26443
9930,Fickle,291
9851,Graceful,899
9852,Grow,24803
9853,Give,230878
9854,Generous,4648
9855,Guilty,12515
9856,Gelid,0
9857,Germane,510
9858,Glacial,1714
9859,Gallant,481
9860,Glum,69
9925,Gloomy,544
9862,Hungry,6300
9863,Heavy,32826
9864,Hirsute,92
9865,Heal,4319
9866,Hinder,908
9867,HelP,335483
9868,Hideous,1645
9936,Hindrance,360
9869,Innocent,12203
9870,Ingress,296
9871,Irrelevant,11614
9872,Impecunious,10
9873,Just,1020539
9874,Joy,11703
9875,Jocund,1
9934,Jubilant,59
9876,Kind,131849
9877,Light,96805
9878,Late,55030
9879,Lethargy,237
9880,Laud,182
9881,Loaded,18267
9882,Lugubrious,34
9926,Lambent,3
9931,Loyal,3861
9883,Mountainous,490
9884,Miserly,84
9885,Morose,104
9887,Nature,51563
9888,Necessitate,573
9889,Novice,5242
9890,New,709084
9891,Nascent,269
9892,Obviate,142
9893,Opaque,961
9894,Old,238321
9895,Punctual,70
9896,Poverty,7521
9897,Premeditated,283
9898,Praise,5984
9899,Peak,8419
9900,Pleasant,6736
9929,Predictable,2623
9901,Replete,387
9902,Repatriate,69
9903,Surly,334
9904,Spontaneous,2391
9905,Strength,25721
9906,Sweet,15494
9907,shy,4115
9908,Sully,159
9909,Sharp,12847
9910,Sorrow,1512
9911,Sultry,247
9912,Swift,4024
9913,Spicy,847
9914,Support,248197
9915,Tardy,88
9916,Trough,990
9917,Transparent,5589
9928,Unintentional,0
9918,Vilify,101
9919,Vex,124
9920,Vapid,205
9921,Wither,451
9922,Weakness,5396
9924,Young,66849
