cue_id,img_txt,freq
9937,Artifice,131
9939,Affluence,188
9940,Assist,13081
9941,Acquiesce,108
9942,Apathy,1017
9943,Alacrity,73
9944,Ameliorate,165
10453,Apposite,38
10467,Adamant,624
9945,Bland,1678
9946,Blunt,1713
9947,Bright,13726
9948,Bald,2764
9949,Bitter,5910
9950,Beautiful,31342
9951,Barrack,69
9952,Blue,89005
9953,Boon,2284
9954,Cruel,5177
9956,Clumsy,1382
9958,Churlish,71
9959,Cheerful,699
9960,Capricious,352
10070,Cacophony,141
10073,Clean,36257
9963,Dark,71249
9965,Demur,45
9966,Desultory,81
9967,Deliberate,3342
10072,Dirt,7642
10480,Diurnal,100
10481,Desultory,81
9972,Excoriate,19
9973,Exile,2654
9974,Exacerbate,333
10482,Ephemeral,294
9977,Fickle,291
10454,Friable,17
10484,Fast,77003
9978,Graceful,899
9979,Grow,24803
9980,Give,230878
9981,Generous,4648
9982,Guilty,12515
9983,Gelid,0
9984,Germane,510
9985,Glacial,1714
9986,Gallant,481
9987,Glum,69
9988,Gloomy,544
9989,Hungry,6300
9990,Heavy,32826
9991,Hirsute,92
9992,Heal,4319
9995,Hideous,1645
9996,Hindrance,360
10469,Haughty,252
9997,Innocent,12203
9998,Ingress,296
9999,Irrelevant,11614
10000,Impecunious,10
10001,Just,1020539
10002,Joy,11703
10003,Jocund,1
10004,Jubilant,59
10005,Kind,131849
10058,Kindle,106
10006,Light,96805
10007,Late,55030
10008,Lethargy,237
10009,Laud,182
10010,Loaded,18267
10011,Lugubrious,34
10012,Lambent,3
10013,Loyal,3861
10068,Loud,11931
10014,Mountainous,490
10015,Miserly,84
10016,Morose,104
10059,Misfortune,864
10069,Muted,442
10455,Mellifluous,39
10017,Nature,51563
10018,Necessitate,573
10021,Nascent,269
10483,Nocturnal,543
10022,Obviate,142
10023,Opaque,961
10061,Optional,11022
10062,Obligatory,1286
10026,Poverty,7521
10027,Premeditated,283
10028,Praise,5984
10029,Peak,8419
10030,Pleasant,6736
10031,Predictable,2623
10063,Pithy,362
10065,Prolix,56
10071,Pristine,1141
10486,Persistent,2736
10487,Perpetual,1916
10057,Quench,243
10066,Quiet,13086
10032,Replete,387
10033,Repatriate,69
10067,Raucous,152
10034,Surly,334
10035,Spontaneous,2391
10036,Strength,25721
10037,Sweet,15494
10038,shy,4115
10039,Sully,159
10040,Sharp,12847
10041,Sorrow,1512
10042,Sultry,247
10043,Swift,4024
10044,Spicy,847
10045,Support,248197
10056,Sweltering,58
10060,Serendipity,188
10074,Sullied,78
10468,Supercilious,86
10471,Singular,2062
10485,Slow,43719
10047,Trough,990
10048,Transparent,5589
10049,Unintentional,0
10456,Unctuous,108
10457,Ubiquitous,914
10470,Unique,24825
10050,Vilify,101
10052,Vapid,205
10064,Verbose,1109
10053,Wither,451
10054,Weakness,5396
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
