cue_id,img_txt,freq
10075,Artifice,131
10076,Affluence,188
10077,Assist,13081
10078,Acquiesce,108
10079,Apathy,1017
10080,Alacrity,73
10081,Ameliorate,165
10192,Awkward,2521
10209,Agitate,181
10216,Active,35565
10458,Apposite,38
10082,Bland,1678
10083,Blunt,1713
10084,Bright,13726
10086,Bitter,5910
10087,Beautiful,31342
10088,Barrack,69
10089,Blue,89005
10090,Boon,2284
10208,Bonza,0
10463,Bellicose,46
10091,Cruel,5177
10093,Churlish,71
10094,Cheerful,699
10095,Capricious,352
10096,Cacophony,141
10097,Clean,36257
10212,Calm,6300
10098,Dark,71249
10099,Demur,45
10101,Deliberate,3342
10102,Dirt,7642
10217,Dormant,1022
10103,Excoriate,19
10104,Exile,2654
10105,Exacerbate,333
10213,Enrage,75
10106,Fickle,291
10378,Facile,544
10459,Friable,17
10110,Generous,4648
10112,Gelid,0
10113,Germane,510
10114,Glacial,1714
10115,Gallant,481
10116,Glum,69
10117,Gloomy,544
10194,Graceful,899
10119,Heavy,32826
10123,Hindrance,360
10377,Haughty,252
10381,Hideous,1645
10126,Irrelevant,11614
10127,Impecunious,10
10199,Intrepid,893
10130,Jocund,1
10131,Jubilant,59
10132,Kind,131849
10133,Kindle,106
10134,Light,96805
10135,Late,55030
10136,Lethargy,237
10137,Laud,182
10138,Loaded,18267
10139,Lugubrious,34
10140,Lambent,3
10141,Loyal,3861
10142,Loud,11931
10195,Locate,11350
10196,Lose,38347
10382,Loathsome,292
10143,Mountainous,442
10144,Miserly,864
10145,Morose,490
10146,Misfortune,104
10147,Muted,39
10206,Miserable,84
10460,Mellifluous,3228
10148,Nature,51563
10149,Necessitate,573
10150,Nascent,269
10202,Nimble,465
10151,Obviate,142
10152,Opaque,961
10153,Optional,11022
10154,Obligatory,1286
10205,Opulent,106
10155,Poverty,7521
10156,Premeditated,283
10157,Praise,5984
10158,Peak,8419
10159,Pleasant,6736
10160,Predictable,2623
10161,Pithy,362
10162,Prolix,56
10163,Pristine,1141
10201,PurifY,599
10210,Placate,222
10215,Provoke,1557
10380,Profound,3756
10475,Placid,420
10476,Peaceful,5918
10164,Quench,243
10165,Quiet,13086
10214,Quell,258
10461,Querulous,12
10167,Repatriate,69
10168,Raucous,152
10198,Reluctance,956
10169,Surly,334
10170,Spontaneous,2391
10171,Strength,25721
10172,Sweet,15494
10173,shy,4115
10174,Sully,159
10175,Sharp,12847
10177,Sultry,247
10178,Swift,4024
10179,Spicy,847
10180,Support,248197
10181,Sweltering,58
10182,Serendipity,188
10183,Sullied,78
10193,Svelte,83
10203,Sluggish,856
10211,Still,363407
10376,Supercilious,86
10474,Singular,2062
10184,Trough,990
10185,Transparent,5589
10200,Timorous,20
10204,Threadbare,68
10186,Unintentional,0
10375,Unctuous,108
10462,Ubiquitous,914
10472,Uncomplaining,0
10473,Unique,24825
10187,Vilify,101
10188,Vapid,205
10189,Verbose,1109
10191,Weakness,5396
10197,Willing,55709
10379,Winsome,89
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
