cue_id,img_txt,freq
10219,Affluence,188
10220,Assist,13081
10221,Acquiesce,108
10224,Ameliorate,165
10225,Awkward,2521
10226,Agitate,181
10227,Active,35565
10368,Autochthonic,0
10464,Apposite,38
10477,Adamant,624
10228,Bland,1678
10230,Bright,13726
10231,Bitter,5910
10232,Beautiful,31342
10233,Barrack,69
10234,Blue,89005
10235,Boon,2284
10236,Bonza,0
10237,Cruel,5177
10238,Churlish,71
10239,Cheerful,699
10240,Capricious,352
10241,Cacophony,141
10242,Clean,36257
10243,Calm,6300
10356,Conflate,48
10244,Dark,71249
10245,Demur,45
10246,Deliberate,3342
10247,Dirt,7642
10248,Dormant,1022
10249,Excoriate,19
10251,Exacerbate,333
10252,Enrage,75
10364,Ephemeral,294
10369,Exogenous,0
10371,Elucidate,258
10253,Fickle,291
10355,Flat,26256
10465,Friable,17
10255,Gelid,0
10256,Germane,510
10257,Glacial,1714
10258,Gallant,481
10259,Glum,69
10260,Gloomy,544
10261,Graceful,899
10350,Giant,35553
10262,Heavy,32826
10263,Hindrance,360
10374,Haughty,252
10264,Irrelevant,11614
10265,Impecunious,10
10266,Intrepid,893
10358,Ineluctable,29
10362,Increase,43670
10267,Jocund,1
10268,Jubilant,59
10349,Jeopardize,501
10269,Kind,131849
10270,Kindle,106
10271,Light,96805
10272,Late,55030
10274,Laud,182
10275,Loaded,18267
10276,Lugubrious,34
10277,Lambent,3
10278,Loyal,3861
10279,Loud,11931
10280,Locate,11350
10281,Lose,38347
10351,Lilliputian,11
10353,Large,134354
10284,Morose,104
10285,Misfortune,864
10286,Muted,442
10287,Miserable,3228
10354,Mountainous,490
10290,Nascent,269
10291,Nimble,465
10294,Optional,11022
10295,Obligatory,1286
10296,Opulent,106
10370,Obfuscate,429
10297,Poverty,7521
10298,Premeditated,283
10299,Praise,5984
10301,Pleasant,6736
10302,Predictable,2623
10303,Pithy,362
10304,Prolix,56
10305,Pristine,1141
10306,PurifY,599
10307,Placate,222
10308,Provoke,1557
10343,Plump,498
10359,Perishable,132
10363,Persistent,2736
10365,Perpetual,1916
10309,Quench,243
10310,Quiet,13086
10311,Quell,258
10344,Querulous,12
10313,Raucous,152
10314,Reluctance,956
10346,Resist,8016
10315,Surly,334
10318,Sweet,15494
10320,Sully,159
10322,Sultry,247
10323,Swift,4024
10324,Spicy,847
10325,Support,248197
10326,Sweltering,58
10327,Serendipity,188
10328,Sullied,78
10329,Svelte,83
10330,Sluggish,856
10331,Still,363407
10342,Skinny,3377
10348,Save,62632
10352,Small,158742
10357,Separate,36232
10373,Supercilious,86
10479,Singular,2062
10334,Timorous,20
10335,Threadbare,68
10336,Unintentional,0
10345,Uncomplaining,0
10372,Unctuous,108
10466,Ubiquitous,914
10478,Unique,24825
10337,Vilify,101
10338,Vapid,205
10339,Verbose,1109
10341,Willing,55709
10360,Wane,173
10361,Wax,5389
10347,Yield,6182
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
