cue_id,img_txt,freq
4963,Above,177919
4999,Akin,2436
5022,Active,35565
4942,Brave,5524
4955,Below,90658
4965,Bottom,43483
4968,Beautiful,31342
4987,Bad,153580
4992,Bless,3927
4998,Better,284711
5014,Bland,1678
5018,Blunt,1713
5030,Bitter,5910
5031,Begin,60828
4961,Cowardly,1251
4991,Clumsy,1382
4995,Cool,49548
4996,Clean,36257
5007,Cruel,5177
5020,Clear,77302
5027,Confident,5460
4941,Dark,71249
4964,Dirt,7642
4974,Dry,19382
4983,Different,223502
4984,Down,293731
4986,Difficult,52555
5011,Drain,14860
5019,Dormant,1022
4946,Extrovert,50
4951,Enemy,16802
4979,EaSY,93775
5009,Early,75759
5021,Expert,19795
5028,End,227504
5029,Exit,25629
4966,Fast,77003
4971,Friend,81053
4975,Far,176812
4980,False,0
5001,Foreign,42189
5006,Fair,45321
5008,Foul,4072
5010,Future,90741
5032,Fill,26443
4948,Generous,4648
4960,Guilty,12515
4981,Good,628816
4993,Graceful,899
4997,Grow,24803
5024,Give,230878
4953,Hinder,908
4956,Help,335483
4967,Hideous,1645
4976,Happiness,8685
5012,Heat,28372
5025,Heal,4319
4949,Inside,63772
4982,Innocent,12203
5033,Ingress,296
5005,Joy,11703
5015,Just,1020539
5003,Kind,131849
4947,Large,134354
4970,Loud,11931
4985,Light,96805
5000,Late,55030
4950,Miserly,84
4990,Mountainous,490
4943,Near,78062
4957,New,709084
5013,Nervous,6719
5026,Novice,5242
4959,Old,238321
4977,Outside,68404
5016,Past,89390
4958,Quiet,13086
4939,Slow,43719
4952,Small,158742
4954,Sadness,1229
4969,Strength,25721
4972,Sweet,15494
4973,shy,4115
4988,Same,401465
4994,Sully,159
5004,Sorrow,1512
5023,Sharp,12847
4962,TOP,116571
4978,True,0
8018,Take,330816
4945,Up,931275
4940,Wet,16466
4944,Weakness,5396
4989,Worse,34812
5002,Wither,451
