cue_id,img_txt,freq
5062,Akin,"2,436"
5068,Active,"35,565"
5104,Above,"177,919"
5415,Artifice,131
5419,Ancient,"18,204"
5052,Bad,"153,580"
5055,Bless,"3,927"
5061,Better,"284,711"
5076,Bitter,"5,910"
5077,Begin,"60,828"
5083,Brave,"5,524"
5096,Below,"90,658"
5106,Bottom,"43,483"
5109,Beautiful,"31,342"
5123,Bland,"1,678"
5127,Blunt,"1,713"
5417,Bright,"13,726"
5054,Clumsy,"1,382"
5058,Cool,"49,548"
5059,Clean,"36,257"
5066,Clear,"77,302"
5073,Confident,"5,460"
5102,Cowardly,"1,251"
5116,Cruel,"5,177"
8315,Calm,"6,300"
8316,Create,"73,169"
5051,Difficult,"52,555"
5082,Dark,"71,249"
5105,Dirt,"7,642"
5120,Drain,"14,860"
5128,Dormant,"1,022"
8318,Destroy,"17,424"
5044,EaSY,"93,775"
5067,Expert,"19,795"
5074,End,"227,504"
5075,Exit,"25,629"
5087,Extrovert,50
5092,Enemy,"16,802"
5118,Early,"75,759"
5036,Friend,"81,053"
5040,Far,"176,812"
5045,FALSE,0
5064,Foreign,"42,189"
5078,Fill,"26,443"
5107,Fast,"77,003"
5115,Fair,"45,321"
5117,Foul,"4,072"
5119,Future,"90,741"
5046,Good,"628,816"
5056,Graceful,899
5060,Grow,"24,803"
5070,Give,"230,878"
5089,Generous,"4,648"
5101,Guilty,"12,515"
5041,Happiness,"8,685"
5071,Heal,"4,319"
5094,Hinder,908
5097,HelP,"335,483"
5108,Hideous,"1,645"
5121,Heat,"28,372"
5414,Hungry,"6,300"
5416,Heavy,"32,826"
5047,Innocent,"12,203"
5079,Ingress,296
5090,Inside,"63,772"
5114,Joy,"11,703"
5124,Just,"1,020,539"
5112,Kind,"131,849"
5035,Loud,"11,931"
5050,Light,"96,805"
5063,Late,"55,030"
5088,Large,"134,354"
5053,Mountainous,490
5091,Miserly,84
5072,Novice,"5,242"
5084,Near,"78,062"
5098,New,"709,084"
5122,Nervous,"6,719"
5422,Nature,"51,563"
5042,Outside,"68,404"
5100,Old,"238,321"
5125,Past,"89,390"
5421,Punctual,70
8319,Peak,"8,419"
5099,Quiet,"13,086"
5420,Replete,387
5034,Strength,"25,721"
5037,Sweet,"15,494"
5038,shy,"4,115"
5057,Sully,159
5069,Sharp,"12,847"
5080,Slow,"43,719"
5093,Small,"158,742"
5095,Sadness,"1,229"
5113,Sorrow,"1,512"
5043,TRUE,0
5103,Top,"116,571"
5423,Tardy,88
8317,Trough,990
5065,Wither,451
5085,Weakness,"5,396"
5111,Worse,"34,812"
5418,Young,"66,849"
