cue_id,img_txt,freq
5449,Akin,2436
5455,Active,35565
5489,Above,177919
5514,Artifice,131
5518,Ancient,18204
5523,Affluence,188
5442,Bless,3927
5448,Better,284711
5463,Bitter,5910
5464,Begin,60828
5469,Brave,5524
5481,Below,90658
5491,Bottom,43483
5494,Beautiful,31342
5507,Bland,1678
5511,Blunt,1713
5516,Bright,13726
5524,Bald,2764
5441,Clumsy,1382
5445,Cool,49548
5446,Clean,36257
5453,Clear,77302
5460,Confident,5460
5487,Cowardly,1251
5500,Cruel,5177
5539,Confess,2702
5438,Difficult,52555
5468,Dark,71249
5490,DirtY,14094
5504,Drain,14860
5512,Dormant,1022
5537,Deny,13082
5433,EaSY,93775
5454,Expert,19795
5461,End,227504
5462,Exit,25629
5472,Extrovert,50
5502,Early,75759
5429,Far,176812
5451,Foreign,42189
5465,Fill,26443
5492,Fast,77003
5499,Fair,45321
5501,Foul,4072
5503,Future,90741
5443,Graceful,899
5447,Grow,24803
5457,Give,230878
5474,Generous,4648
5486,Guilty,12515
5430,Happiness,8685
5458,Heal,4319
5479,Hinder,908
5482,HelP,335483
5493,Hideous,1645
5505,Heat,28372
5513,Hungry,6300
5515,Heavy,32826
5533,Hirsute,92
5436,Innocent,12203
5466,Ingress,296
5475,Inside,63772
5498,JOY,11703
5508,Just,1020539
5496,Kind,131849
5437,Light,96805
5450,Late,55030
5473,Large,134354
5440,Mountainous,490
5476,Miserly,84
5459,Novice,5242
5470,Near,78062
5483,New,709084
5506,Nervous,6719
5521,Nature,51563
5535,Necessitate,573
5431,Outside,68404
5485,Old,238321
5532,Obviate,142
5534,Opaque,961
5509,Past,89390
5520,Punctual,70
5528,Poverty,7521
5529,Premeditated,283
5531,Praise,5984
5536,Peak,8419
5538,Pleasant,6736
5519,Replete,387
5424,Strength,25721
5427,Sweet,15494
5428,shy,4115
5444,Sully,159
5456,Sharp,12847
5467,Slow,43719
5478,Small,158742
5480,Sadness,1229
5497,Sorrow,1512
5526,Spontaneous,2391
5540,Surly,334
5488,TOP,116571
5522,Tardy,88
5527,Trough,990
5530,Transparent,5589
5525,Vilify,101
5452,Wither,451
5471,Weakness,5396
5495,Worse,34812
5517,Young,66849
