cue_id,img_txt,freq
5555,Artifice,131
5559,Ancient,18204
5565,Affluence,188
5601,Akin,2436
5607,Active,35565
5639,Above,177919
5651,Assist,13081
5652,Acquiesce,108
5657,Apathy,1017
5658,Alacrity,73
5548,Bland,1678
5552,Blunt,1713
5557,Bright,13726
5566,Bald,2764
5594,Bless,3927
5600,Better,284711
5615,Bitter,5910
5621,Brave,5524
5632,Below,90658
5641,Bottom,43483
5644,Beautiful,31342
5541,Cruel,5177
5581,Confess,2702
5593,Clumsy,1382
5597,Cool,49548
5598,Clean,36257
5605,Clear,77302
5612,Confident,5460
5637,Cowardly,1251
5545,Drain,14860
5553,Dormant,1022
5579,Deny,13082
5591,Difficult,52555
5620,Dark,71249
5640,DirtY,14094
5656,Demur,45
5543,Early,75759
5588,EaSY,93775
5606,Expert,19795
5614,Exit,25629
5624,Extrovert,50
8320,Established,24142
5542,Foul,4072
5544,Future,90741
5585,Far,176812
5603,Foreign,42189
5617,Fill,26443
5649,Fair,45321
5595,Graceful,899
5599,Grow,24803
5609,Give,230878
5626,Generous,4648
5636,Guilty,12515
5654,Gelid,0
5659,Germane,510
5546,Heat,28372
5554,Hungry,6300
5556,Heavy,32826
5575,Hirsute,92
5586,Happiness,8685
5610,Heal,4319
5630,Hinder,908
5633,HelP,335483
5643,Hideous,1645
5589,Innocent,12203
5618,Ingress,296
5655,Irrelevant,11614
5549,Just,1020539
5648,JOY,11703
5646,Kind,131849
5590,Light,96805
5602,Late,55030
5653,Lethargy,237
5592,Mountainous,490
5628,Miserly,84
5547,Nervous,6719
5562,Nature,51563
5577,Necessitate,573
5611,Novice,5242
5622,Near,78062
5634,New,709084
5574,Obviate,142
5576,Opaque,961
5635,Old,238321
5550,Past,89390
5561,Punctual,70
5570,Poverty,7521
5571,Premeditated,283
5573,Praise,5984
5578,Peak,8419
5580,Pleasant,6736
5560,Replete,387
5564,Surly,334
5568,Spontaneous,2391
5582,Strength,25721
5583,Sweet,15494
5584,shy,4115
5596,Sully,159
5608,Sharp,12847
5631,Sadness,1229
5647,Sorrow,1512
5660,Sultry,247
5563,Tardy,88
5569,Trough,990
5572,Transparent,5589
5638,TOP,116571
5567,Vilify,101
5650,Vex,124
5604,Wither,451
5623,Weakness,5396
5645,Worse,34812
5558,Young,66849
