cue_id,img_txt,freq
5675,Artifice,131
5679,Ancient,18204
5685,Affluence,188
5720,Akin,2436
5726,Active,35565
5752,Above,177919
5763,Assist,13081
5764,Acquiesce,108
5769,Apathy,1017
5770,Alacrity,73
5782,Ameliorate,165
5668,Bland,1678
5672,Blunt,1713
5677,Bright,13726
5686,Bald,2764
5713,Bless,3927
5719,Better,284711
5733,Bitter,5910
5737,Brave,5524
5745,Below,90658
5756,Beautiful,31342
5661,Cruel,5177
5701,Confess,2702
5712,Clumsy,1382
5716,Cool,49548
5717,Clean,36257
5724,Clear,77302
5731,Confident,5460
5750,Cowardly,1251
5780,Churlish,71
5665,Drain,14860
5673,Dormant,1022
5699,Deny,13082
5736,Dark,71249
5753,DirtY,14094
5768,Demur,45
5781,Desultory,81
5663,Early,75759
5725,Expert,19795
5732,Exit,25629
5740,Extrovert,50
5777,Excoriate,19
5778,Exile,2654
5779,Exacerbate,333
8321,Established,24142
5722,Foreign,42189
5734,Fill,26443
5714,Graceful,899
5718,Grow,24803
5728,Give,230878
5741,Generous,4648
5749,Guilty,12515
5766,Gelid,0
5771,Germane,510
5774,Glacial,1714
5775,Gallant,481
5666,Heat,28372
5674,Hungry,6300
5676,Heavy,32826
5695,Hirsute,92
5729,Heal,4319
5743,Hinder,908
5746,HelP,335483
5755,Hideous,1645
5708,Innocent,12203
5735,Ingress,296
5767,Irrelevant,11614
5669,Just,1020539
5760,JOY,11703
5758,Kind,131849
5709,Light,96805
5721,Late,55030
5765,Lethargy,237
5783,Laud,182
5711,Mountainous,490
5742,Miserly,84
5667,Nervous,6719
5682,Nature,51563
5697,Necessitate,573
5730,Novice,5242
5747,New,709084
8322,Nascent,269
5694,Obviate,142
5696,Opaque,961
5748,Old,238321
5681,Punctual,70
5690,Poverty,7521
5691,Premeditated,283
5693,Praise,5984
5698,Peak,8419
5700,Pleasant,6736
5680,Replete,387
5773,Repatriate,69
5684,Surly,334
5688,Spontaneous,2391
5702,Strength,25721
5703,Sweet,15494
5704,shy,4115
5715,Sully,159
5727,Sharp,12847
5759,Sorrow,1512
5772,Sultry,247
5776,Swift,4024
5683,Tardy,88
5689,Trough,990
5692,Transparent,5589
5687,Vilify,101
5762,Vex,124
5723,Wither,451
5739,Weakness,5396
5757,Worse,34812
5678,Young,66849
