img_color,cue_id,cuepool_name,img_txt
blue,1154,Colour Stroop - colour,"Red
"
yellow,1155,Colour Stroop - colour,"Black
"
black,1156,Colour Stroop - colour,Red
yellow,1157,Colour Stroop - colour,"Yellow
"
red,1158,Colour Stroop - colour,Blue
black,1159,Colour Stroop - colour,Yellow
blue,1160,Colour Stroop - colour,"Yellow
"
red,1161,Colour Stroop - colour,"Red
"
red,1162,Colour Stroop - colour,"Yellow
"
yellow,1163,Colour Stroop - colour,Blue
yellow,1164,Colour Stroop - colour,"Red
"
black,1165,Colour Stroop - colour,Blue
blue,1166,Colour Stroop - colour,Blue
blue,1167,Colour Stroop - colour,"Black
"
black,1168,Colour Stroop - colour,Black
red,1169,Colour Stroop - colour,"Black
"
yellow,1150,Colour Stroop - meaning,yellow
black,1151,Colour Stroop - meaning,black
blue,1152,Colour Stroop - meaning,blue
red,1153,Colour Stroop - meaning,red
