logical_tags,org_tags,cue_id
3 faces,1 male faces,1730
4 faces,2 male faces,1732
2 faces,4 female faces,1733
15 faces,6 male faces,1735
6 faces,2 female faces,1737
10 faces,faces 8 female,1738
13 faces,4 male faces,1739
11 faces,2 male faces,1743
9 faces,7 female faces,1746
18 faces,8 female faces,1857
22 faces,12 female faces,1858
12 faces,3 male faces,1859
21 faces,11 female faces,1860
29 faces,12 male faces,1861
26 faces,9 male faces,1862
14 faces,5 male faces,1863
5 faces,3 female faces,1864
8 faces,6 female faces,1865
28 faces,11 male faces,1866
19 faces,9 female faces,1867
24 faces,14 female faces,1868
27 faces,10 male faces,1869
20 faces,10 female faces,1870
23 faces,13 female faces,1871
16 faces,7 male faces,1872
17 faces,8 male faces,1873
7 faces,5 female faces,1874
25 faces,15 female faces,1875
