direction_unique,cue_id,cuepool_name
up,5854,Flanker - a1
left,5855,Flanker - a1
up,5856,Flanker - a1
up,5857,Flanker - a1
left,5858,Flanker - a1
down,5859,Flanker - a1
left,5860,Flanker - a1
down,5861,Flanker - a1
right,5862,Flanker - a1
right,5863,Flanker - a1
down,5864,Flanker - a1
right,5865,Flanker - a1
up,5870,Flanker - b2-4
left,5871,Flanker - b2-4
up,5872,Flanker - b2-4
up,5873,Flanker - b2-4
left,5874,Flanker - b2-4
down,5875,Flanker - b2-4
left,5876,Flanker - b2-4
down,5877,Flanker - b2-4
right,5878,Flanker - b2-4
right,5879,Flanker - b2-4
down,5880,Flanker - b2-4
right,5881,Flanker - b2-4
right,5882,Flanker - b2-4
up,5883,Flanker - b2-4
up,5884,Flanker - b2-4
down,5885,Flanker - b2-4
left,5886,Flanker - b2-4
left,5887,Flanker - b2-4
right,5888,Flanker - b2-4
down,5889,Flanker - b2-4
up,5890,Flanker - c5-7
left,5891,Flanker - c5-7
up,5892,Flanker - c5-7
up,5893,Flanker - c5-7
left,5894,Flanker - c5-7
down,5895,Flanker - c5-7
left,5896,Flanker - c5-7
down,5897,Flanker - c5-7
right,5898,Flanker - c5-7
right,5899,Flanker - c5-7
down,5900,Flanker - c5-7
right,5901,Flanker - c5-7
right,5902,Flanker - c5-7
up,5903,Flanker - c5-7
up,5904,Flanker - c5-7
down,5905,Flanker - c5-7
left,5906,Flanker - c5-7
left,5907,Flanker - c5-7
right,5908,Flanker - c5-7
down,5909,Flanker - c5-7
right,5910,Flanker - c5-7
left,5911,Flanker - c5-7
up,5912,Flanker - c5-7
down,5913,Flanker - c5-7
left,5914,Flanker - c5-7
up,5915,Flanker - c5-7
right,5916,Flanker - c5-7
left,5917,Flanker - c5-7
down,5918,Flanker - c5-7
right,5919,Flanker - c5-7
down,5920,Flanker - c5-7
up,5921,Flanker - c5-7
right,6069,Flanker - d8-10
up,6070,Flanker - d8-10
right,6071,Flanker - d8-10
up,6072,Flanker - d8-10
right,6073,Flanker - d8-10
up,6074,Flanker - d8-10
left,6075,Flanker - d8-10
up,6076,Flanker - d8-10
right,6077,Flanker - d8-10
right,6078,Flanker - d8-10
down,6080,Flanker - d8-10
left,6081,Flanker - d8-10
left,6082,Flanker - d8-10
left,6083,Flanker - d8-10
up,6084,Flanker - d8-10
left,6085,Flanker - d8-10
down,6086,Flanker - d8-10
down,6089,Flanker - d8-10
up,6090,Flanker - d8-10
down,6091,Flanker - d8-10
right,6092,Flanker - d8-10
up,6093,Flanker - d8-10
down,6094,Flanker - d8-10
down,6096,Flanker - d8-10
left,6097,Flanker - d8-10
left,6098,Flanker - d8-10
right,6099,Flanker - d8-10
down,6100,Flanker - d8-10
right,6154,Flanker - d8-10
up,6155,Flanker - d8-10
down,6156,Flanker - d8-10
up,6157,Flanker - d8-10
left,6158,Flanker - d8-10
up,6159,Flanker - d8-10
left,6160,Flanker - d8-10
left,6161,Flanker - d8-10
right,6162,Flanker - d8-10
down,6163,Flanker - d8-10
up,6164,Flanker - d8-10
down,6165,Flanker - d8-10
right,6166,Flanker - d8-10
down,6167,Flanker - d8-10
right,6168,Flanker - d8-10
left,6169,Flanker - d8-10
up,6101,Flanker - e11-13
left,6103,Flanker - e11-13
right,6105,Flanker - e11-13
right,6107,Flanker - e11-13
left,6108,Flanker - e11-13
up,6109,Flanker - e11-13
