solution,no_swaps,cue_id,img_text,cuepool_name
psk,1,3448,['swap 2 with 3'],Letter Swap - 1
skp,1,3449,['swap 3 with 2'],Letter Swap - 1
psk,1,3450,['swap 2 with 1'],Letter Swap - 1
psk,1,3451,['swap 3 with 1'],Letter Swap - 1
spk,1,3452,['swap 3 with 1'],Letter Swap - 1
spk,1,3453,['swap 3 with 2'],Letter Swap - 1
psk,2,3400,"['swap 3 with 1', 'swap 3 with 2']",Letter Swap - 2
pks,2,3402,"['swap 2 with 1', 'swap 2 with 3']",Letter Swap - 2
spk,2,3404,"['swap 1 with 2', 'swap 3 with 2']",Letter Swap - 2
ksp,2,3407,"['swap 3 with 2', 'swap 1 with 3']",Letter Swap - 2
pks,2,3415,"['swap 1 with 2', 'swap 3 with 1']",Letter Swap - 2
psk,2,3416,"['swap 1 with 3', 'swap 1 with 2']",Letter Swap - 2
skp,2,10500,"['swap 1 with 3', 'swap 3 with 1']",Letter Swap - 2
spk,1,10501,['swap 1 with 3'],Letter Swap - 2
pks,1,10502,['swap 2 with 3'],Letter Swap - 2
skp,2,10503,"['swap 3 with 1', 'swap 2 with 1']",Letter Swap - 2
spk,2,10504,"['swap 2 with 1', 'swap 2 with 1']",Letter Swap - 2
ksp,2,10505,"['swap 2 with 3', 'swap 3 with 1']",Letter Swap - 2
skp,2,10506,"['swap 2 with 3', 'swap 1 with 3']",Letter Swap - 2
skp,2,10507,"['swap 3 with 2', 'swap 2 with 1']",Letter Swap - 2
kps,1,10508,['swap 1 with 2'],Letter Swap - 2
pks,3,10509,"['swap 1 with 2', 'swap 1 with 3', 'swap 2 with 1']",Letter Swap - 3
skp,3,10510,"['swap 3 with 1', 'swap 2 with 3', 'swap 2 with 1']",Letter Swap - 3
pks,3,10511,"['swap 3 with 2', 'swap 2 with 1', 'swap 2 with 3']",Letter Swap - 3
kps,3,10512,"['swap 1 with 3', 'swap 2 with 3', 'swap 3 with 1']",Letter Swap - 3
skp,3,10513,"['swap 2 with 1', 'swap 3 with 2', 'swap 1 with 2']",Letter Swap - 3
skp,3,10514,"['swap 2 with 3', 'swap 2 with 1', 'swap 1 with 3']",Letter Swap - 3
kps,3,10541,"['swap 2 with 1', 'swap 3 with 1', 'swap 2 with 1']",Letter Swap - 3
psk,3,10542,"['swap 1 with 3', 'swap 2 with 1', 'swap 3 with 1']",Letter Swap - 3
pks,3,10543,"['swap 2 with 1', 'swap 3 with 1', 'swap 2 with 3']",Letter Swap - 3
psk,3,10544,"['swap 3 with 2', 'swap 1 with 3', 'swap 2 with 1']",Letter Swap - 3
