cue_id,img_txt,freq
2583,Ample,2593
2587,Affect,18690
2538,Bright,13726
2596,Brave,5524
2607,Blast,18943
2617,Belief,19406
8277,Begin,60828
2546,Calm,6300
2568,Concentrate,6190
2572,Create,73169
2575,Consume,2830
2590,Courageous,1131
2603,Clean,36257
2557,Distant,6078
2563,Divine,12808
2581,Draw,26592
2585,Distance,29802
2614,Delicious,2481
2621,Debate,26957
8283,Delight,3207
2564,Engulf,172
2578,Enjoy,46729
2588,Explosion,5867
2597,Endure,1860
2602,Emit,1140
2608,Emanate,0
2609,Energy,58596
2540,Forgive,8912
2544,Fast,77003
2555,Far,176812
2559,Finite,4199
2571,Focus,27452
2591,Fortitude,519
2611,Funny,36714
3099,Fortunate,3159
2604,Gift,11722
8282,Gladden,83
2545,Happiness,8685
2567,Holy,27262
2589,Huge,38161
2612,Heat,28372
2620,Humorous,2866
2616,Influence,19809
8281,Ilk,2163
2541,Joy,11703
3102,Jump,26855
8280,Kind,131849
2558,Limited,63816
2570,Like,1060831
3100,Lucky,17795
3101,Leap,6090
2594,Mould,913
2615,Maverick,1058
8276,Now,599476
2595,Opinion,68760
8285,Outcome,6893
2547,Pardon,4885
2584,Plentiful,792
2586,Part,249067
2598,Present,65134
2605,Ponder,1467
2606,Pleased,11563
2610,Principal,9209
2613,Power,187656
2618,Paramount,4799
2539,Quick,37673
2543,Radiant,623
2550,Roll,21720
2561,Riches,1388
2569,Rotate,3347
8284,Result,66995
2542,Still,363407
2551,Start,172475
2553,Speak,53714
2560,Spin,10683
2576,Sketch,2053
2582,Share,57769
2592,Satisfied,10601
2593,Shape,23161
2601,Spruce,876
2554,Talk,91547
2556,Tumble,568
2579,Urn,259
2599,Unorthodox,472
2577,Vase,540
2565,Wealth,11934
2573,Withstand,1354
2622,Warmth,2499
