cue_id,img_txt,freq
2634,Absolve,223
2638,Affect,18690
2713,Accent,5213
2752,Attest,1226
2808,Annoying,13329
2819,Agile,631
2823,Agreeable,656
2837,Annihilate,300
2847,Ample,2593
8021,Assist,13081
2625,Bright,13726
2676,Bath,5621
2679,Boat,15857
2687,Brave,5524
2698,Begin,60828
2715,Basin,2140
2737,Blast,18943
2806,Belief,19406
2632,Conventional,9941
2649,Caress,1125
2655,Courageous,1131
2684,Cobber,12
2695,Certify,848
2711,Celebrate,3175
2717,Concentrate,6190
2720,Commemorate,566
2725,Clean,36257
2760,Create,73169
2761,Clear,77302
2771,Candid,647
2773,Consequence,4391
2782,Consume,2830
2789,Creep,1793
2811,Calm,6300
2814,Cabin,3130
2839,Continuous,8212
2628,Division,35084
2637,Dangle,277
2640,Distract,1191
2658,Defence,6847
2663,Discontinue,758
2671,Discuss,30217
2672,Divine,12808
2703,Different,223502
2708,Dance,26125
2738,Distinct,7191
2778,Delicious,2481
2803,Doubtful,1911
2813,Denote,979
2825,Draw,26592
2835,Destroy,17424
2840,Delight,3207
2842,Distant,6078
2844,Deliberate,3342
2846,Debate,26957
2850,Digger,352
2854,Distance,29802
2642,Explosion,5867
2673,Engulf,172
2688,Endure,1860
2706,Expel,536
2719,Emit,1140
2740,Emanate,0
2747,Energy,58596
2762,Extend,9373
2765,Extravagant,380
2812,Enjoy,46729
2851,Emphasis,10226
2627,Friend,81053
2633,Finite,4199
2636,Forgive,8912
2647,Future,90741
2656,Fortitude,519
2666,Frank,34023
2683,Fortunate,3159
2705,Free,244067
2736,Focus,27452
2751,Funny,36714
2755,Facilitate,4173
2757,Fluorescent,975
2770,Fast,77003
2787,Famished,55
2791,Far,176812
2629,Gig,6862
2670,Glib,343
2678,Gush,443
2681,Gladden,83
2727,Gift,11722
2734,Golden,17531
2754,Gilt,374
2834,Glowing,2005
2644,Huge,38161
2704,Hereafter,697
2716,Holy,27262
2732,Horn,9173
2767,Heat,28372
2793,Hut,1868
2809,Happiness,8685
2818,Hungry,6300
2845,Humorous,2866
2648,Insignificant,2403
2650,Ideal,17084
2653,Immortal,4124
2675,Indicate,22492
2691,Immature,2842
2696,Illustrate,3107
2722,Irritating,2247
2741,Idyllic,183
2794,Influence,19809
2800,Initiate,3109
8289,Ilk,2163
2651,Juvenile,2033
2699,Jig,887
2707,Jumper,5765
2743,Joy,11703
2744,Job,152135
2772,Jump,26855
2701,Keep,183906
2730,Kip,499
8288,Kind,131849
2623,Limited,63816
2643,Lucid,4178
2668,Languid,55
2692,Lavish,508
2712,Lithe,201
2729,Like,1060831
2750,Leisurely,432
2766,Luminous,480
2780,Lucky,17795
2826,Larrikin,0
2829,Leap,6090
2855,Language,97874
2657,Make,520909
2669,Mould,913
2674,Measure,19777
2697,Mountainous,490
2786,Maverick,1058
2802,Movement,30554
2831,Maintain,27327
2677,Nostalgic,835
8286,Novice,5242
8287,Now,599476
2652,Originate,1430
2686,Opinion,68760
2776,Obtain,25096
2624,Part,249067
2660,Perceive,3388
2662,Personable,300
2682,Prickling,22
2689,Present,65134
2694,Protection,32877
2726,Purify,599
2728,Pull,28190
2733,Ponder,1467
2735,Pleased,11563
2748,Principal,9209
2759,Perpetual,1916
2764,Planned,13957
2774,Power,187656
2777,Pardon,4885
2796,Place,195199
2801,Premeditated,283
2816,Paramount,4799
2848,Plentiful,792
2626,Quick,37673
2843,Quantify,847
2635,Roll,21720
2645,Riches,1388
2721,Rotate,3347
2724,Radiant,623
2731,Revere,508
2758,Reject,7470
2784,Result,66995
2792,Retreat,3082
2824,Room,85138
2841,Refine,763
2849,Rest,78610
2639,Still,363407
2641,Spin,10683
2659,Start,172475
2661,Sidetrack,115
2664,Satisfied,10601
2665,Shape,23161
2667,Stroke,6062
2690,Security,62549
2700,Speak,53714
2702,Scorching,197
2710,Swallow,3184
2718,Spruce,876
2723,Sink,8579
2746,Sing,10917
2763,Sit,25658
2769,Sneak,2639
2783,Space,113076
2785,Sketch,2053
2798,Spout,1085
2804,Sense,77530
2807,Singular,2062
2810,Stretch,9424
2820,Swing,7716
2821,Sweater,1314
2828,Small,158742
2836,Share,57769
2838,Soldier,8296
2852,Strength,25721
2630,Traditional,23093
2631,Tattle,44
2745,Tasty,2008
2749,Tingling,601
2775,Talk,91547
2781,Tongue,14963
2790,Take,330816
2797,Telephone,39460
2805,Tub,2579
2830,Travel,45977
2833,Tumble,568
2646,Undying,376
2693,Unorthodox,472
2739,Unsure,3230
2788,Unique,24825
2815,Urn,259
2832,Unfetter,0
2799,Vase,540
2680,Wealth,11934
2753,Withdraw,5353
2756,Wistful,186
2768,Withstand,1354
2795,Witty,2411
2817,Withering,589
2827,Weather,21328
2853,Warmth,2499
