cue_id,img_txt,freq
2899,Assist,13081
2928,Accent,5213
2957,Annihilate,300
2967,Ample,2593
2983,Absolve,223
2987,Affect,18690
3005,Attest,1226
3061,Annoying,13329
3072,Agile,631
3076,Agreeable,656
3093,Authoritative,2028
3096,Altercation,147
2890,Bath,5621
2893,Boat,15857
2901,Brave,5524
2913,Begin,60828
2930,Basin,2140
2951,Blast,18943
2974,Bright,13726
3059,Belief,19406
3091,Bubbles,2055
2863,Caress,1125
2869,Courageous,1131
2898,Cobber,12
2910,Certify,848
2926,Celebrate,3175
2932,Concentrate,6190
2935,Commemorate,566
2940,Clean,36257
2959,Continuous,8212
3013,Create,73169
3014,Clear,77302
3024,Candid,647
3026,Consequence,4391
3035,Consume,2830
3042,Creep,1793
3064,Calm,6300
3067,Cabin,3130
3097,Canonical,1510
2858,Distance,29802
2872,Defence,6847
2877,Discontinue,758
2885,Discuss,30217
2886,Divine,12808
2918,Different,223502
2923,Dance,26125
2952,Distinct,7191
2960,Delight,3207
2962,Distant,6078
2964,Deliberate,3342
2966,Debate,26957
2970,Digger,352
2977,Division,35084
2986,Dangle,277
2989,Distract,1191
3031,Delicious,2481
3056,Doubtful,1911
3066,Denote,979
3078,Draw,26592
3088,Destroy,17424
2887,Engulf,172
2903,Endure,1860
2921,Expel,536
2934,Emit,1140
2954,Emanate,0
2971,Emphasis,10226
2991,Explosion,5867
3000,Energy,58596
3015,Extend,9373
3018,Extravagant,380
3065,Enjoy,46729
3092,Effervescence,17
2870,Fortitude,519
2880,Frank,34023
2897,Fortunate,3159
2920,Free,244067
2950,Focus,27452
2976,Friend,81053
2982,Finite,4199
2985,Forgive,8912
3004,Funny,36714
3008,Facilitate,4173
3010,Fluorescent,975
3023,Fast,77003
3040,Famished,55
3044,Far,176812
2884,Glib,343
2892,Gush,443
2895,Gladden,83
2942,Gift,11722
2948,Golden,17531
3007,Gilt,374
3087,Glowing,2005
2931,Holy,27262
2946,Horn,9173
2965,Humorous,2866
2993,Huge,38161
3020,Heat,28372
3046,Hut,1868
3062,Happiness,8685
3071,Hungry,6300
8291,Here,477382
2862,Insignificant,2403
2864,Ideal,17084
2867,Immortal,4124
2889,Indicate,22492
2906,Immature,2842
2911,Illustrate,3107
2937,Irritating,2247
2955,Idyllic,183
3047,Influence,19809
3053,Initiate,3109
3094,Imbroglio,34
2865,Juvenile,2033
2914,Jig,887
2922,Jumper,5765
2996,Joy,11703
3025,Jump,26855
2916,Keep,183906
2994,Kip,499
2882,Languid,55
2902,Language,97874
2907,Lavish,508
2927,Lithe,201
2944,Like,1060831
2972,Limited,63816
2992,Lucid,4178
3003,Leisurely,432
3019,Luminous,480
3033,Lucky,17795
3079,Larrikin,0
3082,Leap,6090
2871,Make,520909
2883,Mould,913
2888,Measure,19777
2912,Mountainous,490
3039,Maverick,1058
3055,Movement,30554
3084,Maintain,27327
2891,Nostalgic,835
8292,Now,599476
8293,Novice,5242
2866,Originate,1430
2900,Opinion,68760
3029,Obtain,25096
2874,Perceive,3388
2876,Personable,300
2896,Prickling,22
2904,Present,65134
2909,Protection,32877
2941,Purify,599
2943,Pull,28190
2947,Ponder,1467
2949,Pleased,11563
2968,Plentiful,792
2973,Part,249067
3001,Principal,9209
3012,Perpetual,1916
3017,Planned,13957
3027,Power,187656
3030,Pardon,4885
3049,Place,195199
3054,Premeditated,283
3069,Paramount,4799
2963,Quantify,847
2975,Quick,37673
2859,Riches,1388
2936,Rotate,3347
2939,Radiant,623
2945,Revere,508
2961,Refine,763
2969,Rest,78610
2984,Roll,21720
3011,Reject,7470
3037,Result,66995
3045,Retreat,3082
3077,Room,85138
2856,Strength,25721
2873,Start,172475
2875,Sidetrack,115
2878,Satisfied,10601
2879,Shape,23161
2881,Stroke,6062
2905,Security,62549
2915,Speak,53714
2917,Scorching,197
2925,Swallow,3184
2933,Spruce,876
2938,Sink,8579
2956,Share,57769
2958,Soldier,8296
2988,Still,363407
2990,Spin,10683
3016,Sit,25658
3022,Sneak,2639
3036,Space,113076
3038,Sketch,2053
3051,Spout,1085
3057,Sense,77530
3060,Singular,2062
3063,Stretch,9424
3073,Swing,7716
3074,Sweater,1314
3081,Small,158742
3095,Scintilla,36
8290,Separate,36232
2998,Tasty,2008
3002,Tingling,601
3028,Talk,91547
3034,Tongue,14963
3043,Take,330816
3050,Telephone,39460
3058,Tub,2579
3083,Travel,45977
3086,Tumble,568
3098,Trace,8554
2860,Undying,376
2908,Unorthodox,472
2953,Unsure,3230
3041,Unique,24825
3068,Urn,259
3085,Unfetter,0
3052,Vase,540
2857,Warmth,2499
2894,Wealth,11934
3006,Withdraw,5353
3009,Wistful,186
3021,Withstand,1354
3048,Witty,2411
3070,Withering,589
3080,Weather,21328
