cue_id,img_txt,freq
3171,Accent,5213
3209,Ample,2593
3222,Absolve,223
3226,Affect,18690
3243,Attest,1226
3298,Annoying,13329
3309,Agile,631
3313,Agreeable,656
3330,Authoritative,2028
3333,Altercation,147
3135,Bath,5621
3138,Boat,15857
3146,Brave,5524
3158,Begin,60828
3172,Basin,2140
3193,Blast,18943
3216,Bright,13726
3296,Belief,19406
3328,Bubbles,2055
3109,Caress,1125
3114,Courageous,1131
3143,Cobber,12
3155,Certify,848
3169,Celebrate,3175
3174,Concentrate,6190
3177,Commemorate,566
3182,Clean,36257
3201,Continuous,8212
3251,Create,73169
3252,Clear,77302
3262,Candid,647
3264,Consequence,4391
3272,Consume,2830
3279,Creep,1793
3301,Calm,6300
3304,Cabin,3130
3334,Canonical,1510
3339,Conflate,48
3341,Censure,536
3105,Distance,29802
3117,Defence,6847
3122,Discontinue,758
3130,Discuss,30217
3131,Divine,12808
3163,Different,223502
3167,Dance,26125
3194,Distinct,7191
3202,Delight,3207
3204,Distant,6078
3206,Deliberate,3342
3208,Debate,26957
3212,Digger,352
3219,Division,35084
3228,Distract,1191
3269,Delicious,2481
3293,Doubtful,1911
3303,Denote,979
3315,Draw,26592
3337,Disapproval,613
3132,Engulf,172
3148,Endure,1860
3165,Expel,536
3176,Emit,1140
3196,Emanate,0
3213,Emphasis,10226
3230,Explosion,5867
3238,Energy,58596
3253,Extend,9373
3256,Extravagant,380
3302,Enjoy,46729
3329,Effervescence,17
3340,Epistle,288
3342,Evocative,302
3343,Eloquent,887
3344,Elide,28
3115,Fortitude,519
3125,Frank,34023
3142,Fortunate,3159
3164,Free,244067
3192,Focus,27452
3218,Friend,81053
3221,Finite,4199
3224,Forgive,8912
3242,Funny,36714
3248,Fluorescent,975
3261,Fast,77003
3277,Famished,55
3281,Far,176812
3345,Fluent,1891
3129,Glib,343
3137,Gush,443
3140,Gladden,83
3184,Gift,11722
3190,Golden,17531
3245,Gilt,374
3324,Glowing,2005
3173,Holy,27262
3207,Humorous,2866
3232,Huge,38161
3258,Heat,28372
3283,Hut,1868
3299,Happiness,8685
3308,Hungry,6300
8295,Here,477382
3108,Insignificant,2403
3110,Ideal,17084
3113,Immortal,4124
3134,Indicate,22492
3151,Immature,2842
3156,Illustrate,3107
3179,Irritating,2247
3197,Idyllic,183
3284,Influence,19809
3290,Initiate,3109
3331,Imbroglio,34
3111,Juvenile,2033
3159,Jig,887
3166,Jumper,5765
3235,Joy,11703
3263,Jump,26855
3161,Keep,183906
3233,Kip,499
3127,Languid,55
3147,Language,97874
3152,Lavish,508
3170,Lithe,201
3186,Like,1060831
3214,Limited,63816
3231,Lucid,4178
3241,Leisurely,432
3257,Luminous,480
3270,Lucky,17795
3316,Larrikin,0
3319,Leap,6090
3338,Letter,58299
3116,Make,520909
3128,Mould,913
3133,Measure,19777
3157,Mountainous,490
3276,Maverick,1058
3292,Movement,30554
3321,Maintain,27327
3136,Nostalgic,835
8294,Now,599476
3112,Originate,1430
3145,Opinion,68760
3267,Obtain,25096
3119,Perceive,3388
3121,Personable,300
3141,Prickling,22
3149,Present,65134
3154,Protection,32877
3183,Purify,599
3185,Pull,28190
3189,Ponder,1467
3191,Pleased,11563
3210,Plentiful,792
3215,Part,249067
3239,Principal,9209
3250,Perpetual,1916
3255,Planned,13957
3265,Power,187656
3268,Pardon,4885
3286,Place,195199
3291,Premeditated,283
3306,Paramount,4799
3205,Quantify,847
3217,Quick,37673
3106,Riches,1388
3178,Rotate,3347
3181,Radiant,623
3187,Revere,508
3203,Refine,763
3211,Rest,78610
3223,Roll,21720
3249,Reject,7470
3274,Result,66995
3282,Retreat,3082
3314,Room,85138
3103,Strength,25721
3118,Start,172475
3120,Sidetrack,115
3123,Satisfied,10601
3124,Shape,23161
3126,Stroke,6062
3150,Security,62549
3160,Speak,53714
3162,Scorching,197
3168,Swallow,3184
3175,Spruce,876
3180,Sink,8579
3198,Share,57769
3200,Soldier,8296
3227,Still,363407
3229,Spin,10683
3254,Sit,25658
3260,Sneak,2639
3273,Space,113076
3275,Sketch,2053
3288,Spout,1085
3294,Sense,77530
3297,Singular,2062
3300,Stretch,9424
3311,Sweater,1314
3318,Small,158742
3332,Scintilla,36
3336,Suggestive,606
3236,Tasty,2008
3240,Tingling,601
3266,Talk,91547
3271,Tongue,14963
3280,Take,330816
3295,Tub,2579
3320,Travel,45977
3323,Tumble,568
3335,Trace,8554
3107,Undying,376
3153,Unorthodox,472
3195,Unsure,3230
3278,Unique,24825
3305,Urn,259
3322,Unfetter,0
3289,Vase,540
3104,Warmth,2499
3139,Wealth,11934
3244,Withdraw,5353
3247,Wistful,186
3259,Withstand,1354
3285,Witty,2411
3307,Withering,589
3317,Weather,21328
