cue_id,img_txt,freq
8090,Accent,5213
8128,Ample,2593
8141,Absolve,223
8145,Affect,18690
8161,Attest,1226
8216,Annoying,13329
8227,Agile,631
8230,Agreeable,656
8247,Authoritative,2028
8250,Altercation,147
8300,Attractive,12510
8301,Australian,13068
8303,Amorphous,454
8054,Bath,5621
8057,Boat,15857
8091,Basin,2140
8112,Blast,18943
8135,Bright,13726
8214,Belief,19406
8245,Bubbles,2055
8314,Brave,5524
8028,Caress,1125
8062,Cobber,12
8074,Certify,848
8088,Celebrate,3175
8093,Concentrate,6190
8096,Commemorate,566
8120,Continuous,8212
8170,Clear,77302
8180,Candid,647
8182,Consequence,4391
8190,Consume,2830
8197,Creep,1793
8219,Calm,6300
8222,Cabin,3130
8251,Canonical,1510
8256,Conflate,48
8258,Censure,536
8307,Conference,51735
8309,Convention,15478
8036,Defence,6847
8041,Discontinue,758
8049,Discuss,30217
8082,Different,223502
8086,Dance,26125
8113,Distinct,7191
8121,Delight,3207
8123,Distant,6078
8125,Deliberate,3342
8127,Debate,26957
8131,Digger,352
8138,Division,35084
8147,Distract,1191
8187,Delicious,2481
8211,Doubtful,1911
8221,Denote,979
8232,Draw,26592
8254,Disapproval,613
8268,Deceive,1300
8269,Desultory,81
8273,Disingenuous,529
8051,Engulf,172
8067,Endure,1860
8084,Expel,536
8095,Emit,1140
8115,Emanate,0
8132,Emphasis,10226
8149,Explosion,5867
8156,Energy,58596
8171,Extend,9373
8174,Extravagant,380
8220,Enjoy,46729
8246,Effervescence,17
8257,Epistle,288
8259,Evocative,302
8260,Eloquent,887
8261,Elide,28
8271,Enervation,9
10495,Ethereal,528
8034,Fortitude,519
8044,Frank,34023
8061,Fortunate,3159
8083,Free,244067
8111,Focus,27452
8137,Friend,81053
8140,Finite,4199
8143,Forgive,8912
8160,Funny,36714
8166,Fluorescent,975
8179,Fast,77003
8195,Famished,55
8199,Far,176812
8262,Fluent,1891
8265,Fatigue,3776
8296,Fulgent,0
8299,Firm,34530
8305,Fixed,30688
8048,Glib,343
8056,Gush,443
8059,Gladden,83
8103,Gift,11722
8109,Golden,17531
8163,Gilt,374
8241,Glowing,2005
8126,Humorous,2866
8201,Hut,1868
8217,Happiness,8685
8226,Hungry,6300
8272,Halcyon,299
8310,Hummock,0
8027,Insignificant,2403
8032,Immortal,4124
8053,Indicate,22492
8070,Immature,2842
8075,Illustrate,3107
8098,Irritating,2247
8202,Influence,19809
8248,Imbroglio,34
8270,Insouciance,11
8030,Juvenile,2033
8078,Jig,887
8085,Jumper,5765
8153,Joy,11703
8080,Keep,183906
8152,Kip,499
8298,Knoll,530
8046,Languid,55
8066,Language,97874
8071,Lavish,508
8089,Lithe,201
8105,Like,1060831
8133,Limited,63816
8150,Lucid,4178
8159,Leisurely,432
8175,Luminous,480
8188,Lucky,17795
8255,Letter,58299
8264,Lassitude,29
8047,Mould,913
8052,Measure,19777
8210,Movement,30554
8238,Maintain,27327
8267,Mellifluous,39
8055,Nostalgic,835
8274,Nonchalance,35
8306,Nefarious,608
8313,Novice,5242
8064,Opinion,68760
8185,Obtain,25096
10496,Otherworldly,93
8038,Perceive,3388
8040,Personable,300
8060,Prickling,22
8068,Present,65134
8073,Protection,32877
8104,Pull,28190
8108,Ponder,1467
8110,Pleased,11563
8129,Plentiful,792
8134,Part,249067
8168,Perpetual,1916
8173,Planned,13957
8183,Power,187656
8186,Pardon,4885
8204,Place,195199
8209,Premeditated,283
8224,Paramount,4799
8124,Quantify,847
8136,Quick,37673
8097,Rotate,3347
8100,Radiant,623
8106,Revere,508
8122,Refine,763
8130,Rest,78610
8142,Roll,21720
8167,Reject,7470
8192,Result,66995
8200,Retreat,3082
8231,Room,85138
8022,Strength,25721
8039,Sidetrack,115
8042,Satisfied,10601
8043,Shape,23161
8045,Stroke,6062
8069,Security,62549
8079,Speak,53714
8081,Scorching,197
8087,Swallow,3184
8099,Sink,8579
8117,Share,57769
8119,Soldier,8296
8146,Still,363407
8148,Spin,10683
8172,Sit,25658
8178,Sneak,2639
8191,Space,113076
8193,Sketch,2053
8206,Spout,1085
8212,Sense,77530
8215,Singular,2062
8218,Stretch,9424
8229,Sweater,1314
8235,Small,158742
8249,Scintilla,36
8253,Suggestive,606
8263,Slow,43719
8266,Sweet,15494
8302,Shapeless,139
8304,Strine,0
8154,Tasty,2008
8158,Tingling,601
8184,Talk,91547
8189,Tongue,14963
8198,Take,330816
8213,Tub,2579
8237,Travel,45977
8240,Tumble,568
8252,Trace,8554
8312,Tradition,13864
8026,Undying,376
8114,Unsure,3230
8196,Unique,24825
8223,Urn,259
8239,Unfetter,0
8311,Underhanded,321
8207,Vase,540
8162,Withdraw,5353
8165,Wistful,186
8177,Withstand,1354
8203,Witty,2411
8225,Withering,589
8234,Weather,21328
8308,Winsome,89
