cue_id,img_txt,freq
Accent,5213,8804
Attest,1226,8805
Agile,631,8807
Agreeable,656,8808
Authoritative,2028,8809
Altercation,147,8810
Attractive,12510,8811
Australian,13068,8812
Amorphous,454,8813
Apparition,300,8814
Apocryphal,335,8815
Astute,767,9539
Basin,2140,8816
Bright,13726,8817
Bubbles,2055,8818
Brave,5524,8819
Burl,134,8820
Bemused,281,9015
Caress,1125,8821
Certify,848,8823
Continuous,8212,8826
Clear,77302,8827
Consequence,4391,8829
Creep,1793,8830
Canonical,1510,8833
Conflate,48,8834
Censure,536,8835
Conference,51735,8836
Convention,15478,8837
Cacophony,141,8838
Cumbersome,1156,8839
Corroboree,3,8840
Colourful,306,8841
Defence,6847,8842
Discuss,30217,8844
Distinct,7191,8846
Deliberate,3342,8847
Distract,1191,8848
Doubtful,1911,8849
Denote,979,8850
Draw,26592,8851
Disapproval,613,8852
Deceive,1300,8853
Desultory,81,8854
Disingenuous,529,8855
Diaphanous,33,8856
Din,3775,8857
Dibs,333,8858
Dulcet,27,9018
Different,223502,9023
Expel,536,8859
Extend,9373,8860
Extravagant,380,8861
Effervescence,17,8862
Epistle,288,8863
Evocative,302,8864
Eloquent,887,8865
Elide,28,8866
Enervation,9,8867
Elocution,44,8868
Erstwhile,0,8869
Ephemeral,294,8870
Fortitude,519,8871
Fortunate,3159,8873
Friend,81053,8874
Finite,4199,8875
Fluorescent,975,8877
Fast,77003,8878
Famished,55,8879
Fluent,1891,8880
Fatigue,3776,8881
Fulgent,0,8882
Firm,34530,8883
Fixed,30688,8884
Fleeting,470,8885
Filmy,70,8886
Firmament,115,8887
Furtive,116,9014
Foreboding,136,9534
Glib,343,8888
Gush,443,8889
Golden,17531,8890
Gilt,374,8891
Glowing,2005,8892
Gathering,8601,8893
Hungry,6300,8897
Halcyon,299,8898
Hummock,0,8899
Heterogeneous,1219,9022
Insignificant,2403,8900
Immortal,4124,8901
Indicate,22492,8902
Immature,2842,8903
Illustrate,3107,8904
Irritating,2247,8905
Imbroglio,34,8906
Insouciance,11,8907
Inclination,1600,9016
Juvenile,2033,8908
Jumper,5765,8910
Keep,183906,8911
Kip,499,8912
Knoll,530,8913
Languid,55,8914
Lavish,508,8916
Lithe,201,8917
Limited,63816,8918
Lucid,4178,8919
Leisurely,432,8920
Luminous,480,8921
Lucky,17795,8922
Letter,58299,8923
Lassitude,29,8924
Lurid,268,8925
Lush,1018,9538
Measure,19777,8926
Maintain,27327,8927
Mellifluous,39,8928
Means,130928,8929
Moody,1563,8930
Nostalgic,835,8931
Nonchalance,35,8932
Nefarious,608,8933
Novice,5242,8934
Nonplussed,84,9020
Obtain,25096,8935
Opulent,106,9536
Perceive,3388,8936
Personable,300,8937
Prickling,22,8938
Present,65134,8939
Protection,32877,8940
Pull,28190,8941
Perpetual,1916,8942
Planned,13957,8943
Place,195199,8944
Premeditated,283,8945
Pageant,276,8946
Past,89390,8947
Performance,73651,8948
Penumbra,43,8949
Prevaricate,13,8950
Pensive,117,8951
Propinquity,21,9019
Portentous,36,9535
Perspicacious,44,9540
Quantify,847,8952
Radiant,623,8953
Refine,763,8955
Rest,78610,8956
Reject,7470,8958
Result,66995,8959
Room,85138,8961
Remaining,13693,8962
Resplendent,345,9537
Strength,25721,8963
Sidetrack,115,8964
Shape,23161,8965
Stroke,6062,8966
Security,62549,8967
Scorching,197,8968
Sink,8579,8969
Sit,25658,8971
Sneak,2639,8972
Space,113076,8973
Sketch,2053,8974
Spout,1085,8975
Sense,77530,8976
Singular,2062,8977
Stretch,9424,8978
Sweater,1314,8979
Small,158742,8980
Scintilla,36,8981
Suggestive,606,8982
Slow,43719,8983
Sweet,15494,8984
Shapeless,139,8985
Strine,0,8986
Spirit,40804,8987
Separate,36232,8988
Shadow,17543,8989
Sky,19795,8990
Surreptitious,74,9017
Tasty,2008,8991
Tingling,601,8992
Talk,91547,8993
Take,330816,8995
Trace,8554,8997
Tradition,13864,8998
Try,272681,8999
Tendency,5954,9021
Undying,376,9000
Unsure,3230,9001
Unique,24825,9002
Underhanded,321,9004
Vista,3346,9006
Vestigial,129,9007
Wistful,186,9009
Witty,2411,9010
Withering,589,9011
Winsome,89,9012
Wherewithal,132,9013
