cue_id,img_txt,freq
9024,Accent,5213
9025,Attest,1226
9026,Annoying,13329
9027,Agile,631
9028,Agreeable,656
9029,Authoritative,2028
9030,Altercation,147
9031,Attractive,12510
9032,Australian,13068
9033,Amorphous,454
9034,Apparition,300
9035,Apocryphal,335
9239,Adduced,78
9036,Basin,2140
9037,Bright,13726
9038,Bubbles,2055
9040,Burl,134
9041,Bemused,281
9237,Bathetic,0
9042,Caress,1125
9044,Certify,848
9048,Clear,77302
9050,Consequence,4391
9051,Creep,1793
9053,Canonical,1510
9054,Conflate,48
9055,Censure,536
9056,Conference,51735
9057,Convention,15478
9058,Cacophony,141
9059,Cumbersome,1156
9060,Corroboree,3
9061,Colourful,306
9241,Connotation,1011
9244,Cited,7236
9245,Cynosure,52
9250,Concentrate,6190
9062,Defence,6847
9064,Discuss,30217
9066,Distinct,7191
9067,Deliberate,3342
9068,Distract,1191
9069,Doubtful,1911
9070,Denote,979
9072,Disapproval,613
9073,Deceive,1300
9074,Desultory,81
9075,Disingenuous,529
9076,Diaphanous,33
9077,Din,3775
9078,Dibs,333
9079,Dulcet,27
9080,Different,223502
9528,Daily,39093
9529,Diurnally,0
9531,Dalliance,42
9083,Extravagant,380
9084,Effervescence,17
9085,Epistle,288
9086,Evocative,302
9087,Eloquent,887
9088,Elide,28
9089,Enervation,9
9090,Elocution,44
9091,Erstwhile,0
9092,Ephemeral,294
9247,Efflorescent,9
9093,Fortitude,519
9095,Fortunate,3159
9097,Finite,4199
9098,Fluorescent,975
9099,Fast,77003
9100,Famished,55
9101,Fluent,1891
9102,Fatigue,3776
9103,Fulgent,0
9104,Firm,34530
9105,Fixed,30688
9106,Fleeting,470
9107,Filmy,70
9108,Firmament,115
9109,Furtive,116
9235,Focus,27452
9242,Floral,2426
9526,Fragrant,517
9532,Fling,766
9110,Glib,343
9111,Gush,443
9112,Golden,17531
9113,Gilt,374
9114,Glowing,2005
9115,Gathering,8601
9117,Hungry,6300
9118,Halcyon,299
9119,Hummock,0
9120,Heterogeneous,1219
9254,Harem,535
9121,Insignificant,2403
9122,Immortal,4124
9123,Indicate,22492
9124,Immature,2842
9126,Irritating,2247
9127,Imbroglio,34
9128,Insouciance,11
9129,Inclination,1600
9251,Ineffable,202
9130,Juvenile,2033
9132,Jumper,5765
9133,Keep,183906
9134,Kip,499
9135,Knoll,530
9136,Languid,55
9138,Lavish,508
9139,Lithe,201
9140,Limited,63816
9141,Lucid,4178
9142,Leisurely,432
9143,Luminous,480
9144,Lucky,17795
9145,Letter,58299
9146,Lassitude,29
9147,Lurid,268
9249,Lissome,0
9525,Lush,1018
9148,Measure,19777
9149,Maintain,27327
9150,Mellifluous,39
9151,Means,130928
9152,Moody,1563
9153,Nostalgic,835
9154,Nonchalance,35
9155,Nefarious,608
9156,Novice,5242
9157,Nonplussed,84
9158,Obtain,25096
9523,Opulent,106
9159,Perceive,3388
9160,Personable,300
9161,Prickling,22
9162,Present,65134
9163,Protection,32877
9164,Pull,28190
9166,Planned,13957
9167,Place,195199
9168,Premeditated,283
9169,Pageant,276
9170,Past,89390
9171,Performance,73651
9172,Penumbra,43
9173,Prevaricate,13
9174,Pensive,117
9175,Propinquity,21
9243,Perspicacious,44
9246,Perambulate,17
9255,Prong,486
9176,Quantify,847
9177,Radiant,623
9179,Refine,763
9180,Rest,78610
9182,Result,66995
9184,Room,85138
9185,Remaining,13693
9524,Resplendent,345
9527,Redolent,38
9186,Strength,25721
9187,Sidetrack,115
9188,Shape,23161
9189,Stroke,6062
9190,Security,62549
9191,Scorching,197
9192,Sink,8579
9193,Sit,25658
9194,Sneak,2639
9195,Space,113076
9197,Spout,1085
9198,Sense,77530
9199,Singular,2062
9201,Sweater,1314
9202,Small,158742
9203,Scintilla,36
9204,Suggestive,606
9205,Slow,43719
9206,Sweet,15494
9207,Shapeless,139
9208,Strine,0
9209,Spirit,40804
9210,Separate,36232
9211,Shadow,17543
9212,Sky,19795
9213,Surreptitious,74
9236,Stroll,562
9240,Seraglio,14
9214,Tasty,2008
9215,Tingling,601
9216,Talk,91547
9218,Take,330816
9219,Trace,8554
9220,Tradition,13864
9221,Try,272681
9222,Tendency,5954
9238,Tragic,2786
9252,Tine,220
9533,Throw,28289
9223,Undying,376
9224,Unsure,3230
9225,Unique,24825
9226,Underhanded,321
9253,Unutterable,19
9227,Vista,3346
9228,Vestigial,129
9248,Verisimilitude,40
9230,Wistful,186
9231,Witty,2411
9232,Withering,589
9233,Winsome,89
9234,Wherewithal,132
