logical_tags,org_tags,cue_id,cuepool_name
b sral1front,spatialrotation b,7143,Spatial Rotation - fronts 1
d sral1front,spatialrotation d,7144,Spatial Rotation - fronts 1
l sral1front,spatialrotation l,7145,Spatial Rotation - fronts 1
f sral1front,spatialrotation f,7146,Spatial Rotation - fronts 1
sral1front i,spatialrotation i,7147,Spatial Rotation - fronts 1
h sral1front,spatialrotation h,7148,Spatial Rotation - fronts 1
e sral1front,spatialrotation e,7149,Spatial Rotation - fronts 1
j sral1front,spatialrotation j,7150,Spatial Rotation - fronts 1
c sral1front,spatialrotation c,7151,Spatial Rotation - fronts 1
k sral1front,spatialrotation k,7152,Spatial Rotation - fronts 1
a sral1front,spatialrotation a,7153,Spatial Rotation - fronts 1
g sral1front,spatialrotation g,7154,Spatial Rotation - fronts 1
a sral10-11front,spatialrotation a,7333,Spatial Rotation - fronts 10-11
b sral10-11front,spatialrotation b,7327,Spatial Rotation - fronts 10-11
c sral10-11front,spatialrotation c,7326,Spatial Rotation - fronts 10-11
d sral10-11front,spatialrotation d,7330,Spatial Rotation - fronts 10-11
e sral10-11front,spatialrotation e,7329,Spatial Rotation - fronts 10-11
f sral10-11front,spatialrotation f,7323,Spatial Rotation - fronts 10-11
g sral10-11front,spatialrotation g,7328,Spatial Rotation - fronts 10-11
h sral10-11front,spatialrotation h,7331,Spatial Rotation - fronts 10-11
sral10-11front i,spatialrotation i,7324,Spatial Rotation - fronts 10-11
j sral10-11front,spatialrotation j,7332,Spatial Rotation - fronts 10-11
k sral10-11front,spatialrotation k,7325,Spatial Rotation - fronts 10-11
a sral12-13front,spatialrotation a,7339,Spatial Rotation - fronts 12-13
b sral12-13front,spatialrotation b,7341,Spatial Rotation - fronts 12-13
c sral12-13front,spatialrotation c,7343,Spatial Rotation - fronts 12-13
d sral12-13front,spatialrotation d,7337,Spatial Rotation - fronts 12-13
e sral12-13front,spatialrotation e,7340,Spatial Rotation - fronts 12-13
f sral12-13front,spatialrotation f,7338,Spatial Rotation - fronts 12-13
g sral12-13front,spatialrotation g,7334,Spatial Rotation - fronts 12-13
h sral12-13front,spatialrotation h,7342,Spatial Rotation - fronts 12-13
sral12-13front i,spatialrotation i,7344,Spatial Rotation - fronts 12-13
j sral12-13front,spatialrotation j,7336,Spatial Rotation - fronts 12-13
k sral12-13front,spatialrotation k,7335,Spatial Rotation - fronts 12-13
e sral14-15front,spatialrotation e,7345,Spatial Rotation - fronts 14-15
b sral14-15front,spatialrotation b,7346,Spatial Rotation - fronts 14-15
a sral14-15front,spatialrotation a,7347,Spatial Rotation - fronts 14-15
c sral14-15front,spatialrotation c,7348,Spatial Rotation - fronts 14-15
d sral14-15front,spatialrotation d,7349,Spatial Rotation - fronts 14-15
f sral14-15front,spatialrotation f,7575,Spatial Rotation - fronts 14-15
k sral2_3front,spatialrotation k,7309,Spatial Rotation - fronts 2-3
l sral2_3front,spatialrotation l,7310,Spatial Rotation - fronts 2-3
a sral2_3front,spatialrotation a,7311,Spatial Rotation - fronts 2-3
h sral2_3front,spatialrotation h,7312,Spatial Rotation - fronts 2-3
b sral2_3front,spatialrotation b,7313,Spatial Rotation - fronts 2-3
e sral2_3front,spatialrotation e,7314,Spatial Rotation - fronts 2-3
f sral2_3front,spatialrotation f,7315,Spatial Rotation - fronts 2-3
d sral2_3front,spatialrotation d,7316,Spatial Rotation - fronts 2-3
sral2_3front i,spatialrotation i,7317,Spatial Rotation - fronts 2-3
j sral2_3front,spatialrotation j,7318,Spatial Rotation - fronts 2-3
sral2_3front m,spatialrotation m,7319,Spatial Rotation - fronts 2-3
c sral2_3front,spatialrotation c,7320,Spatial Rotation - fronts 2-3
g sral2_3front,spatialrotation g,7321,Spatial Rotation - fronts 2-3
sral2_3front n,spatialrotation n,7322,Spatial Rotation - fronts 2-3
k sral4-5front,spatialrotation k,7350,Spatial Rotation - fronts 4-5
e sral4-5front,spatialrotation e,7351,Spatial Rotation - fronts 4-5
h sral4-5front,spatialrotation h,7352,Spatial Rotation - fronts 4-5
f sral4-5front,spatialrotation f,7353,Spatial Rotation - fronts 4-5
g sral4-5front,spatialrotation g,7354,Spatial Rotation - fronts 4-5
a sral4-5front,spatialrotation a,7355,Spatial Rotation - fronts 4-5
d sral4-5front,spatialrotation d,7356,Spatial Rotation - fronts 4-5
c sral4-5front,spatialrotation c,7357,Spatial Rotation - fronts 4-5
sral4-5front i,spatialrotation i,7358,Spatial Rotation - fronts 4-5
j sral4-5front,spatialrotation j,7359,Spatial Rotation - fronts 4-5
b sral4-5front,spatialrotation b,7360,Spatial Rotation - fronts 4-5
a sral6-7front,spatialrotation a,7361,Spatial Rotation - fronts 6-7
g sral6-7front,spatialrotation g,7362,Spatial Rotation - fronts 6-7
d sral6-7front,spatialrotation d,7363,Spatial Rotation - fronts 6-7
e sral6-7front,spatialrotation-e,7364,Spatial Rotation - fronts 6-7
h sral6-7front,spatialrotation h,7365,Spatial Rotation - fronts 6-7
sral6-7front m,spatialrotation m,7366,Spatial Rotation - fronts 6-7
sral6-7front n,spatialrotation n,7367,Spatial Rotation - fronts 6-7
f sral6-7front,spatialrotation f,7368,Spatial Rotation - fronts 6-7
sral6-7front i,spatialrotation i,7369,Spatial Rotation - fronts 6-7
j sral6-7front,spatialrotation j,7370,Spatial Rotation - fronts 6-7
k sral6-7front,spatialrotation k,7371,Spatial Rotation - fronts 6-7
c sral6-7front,spatialrotation c,7372,Spatial Rotation - fronts 6-7
l sral6-7front,spatialrotation l,7373,Spatial Rotation - fronts 6-7
b sral6-7front,spatialrotation b,7374,Spatial Rotation - fronts 6-7
f sral8-9front,spatialrotation f,7375,Spatial Rotation - fronts 8-9
j sral8-9front,spatialrotation j,7376,Spatial Rotation - fronts 8-9
k sral8-9front,spatialrotation k,7377,Spatial Rotation - fronts 8-9
d sral8-9front,spatialrotation d,7378,Spatial Rotation - fronts 8-9
a sral8-9front,spatialrotation a,7379,Spatial Rotation - fronts 8-9
