cue_id,cuepool_name,no_color,logical_tags
6225,Symmetry Span - A Left,15,left
6226,Symmetry Span - A Left,19,left
6227,Symmetry Span - A Left,13,left
6229,Symmetry Span - A Left,21,r_flip
6233,Symmetry Span - A Left,26,r_flip
6234,Symmetry Span - A Left,23,left
6238,Symmetry Span - A Left,18,r_flip
6243,Symmetry Span - A Left,20,left
6245,Symmetry Span - A Left,15,left
6246,Symmetry Span - A Left,15,left
6248,Symmetry Span - A Left,22,r_flip
6249,Symmetry Span - A Left,25,r_flip
6250,Symmetry Span - A Left,20,left
6252,Symmetry Span - A Left,17,r_flip
6253,Symmetry Span - A Left,28,r_flip
6254,Symmetry Span - A Left,19,r_flip
6255,Symmetry Span - A Right,16,right
6256,Symmetry Span - A Right,16,l_flip
6258,Symmetry Span - A Right,20,l_flip
6260,Symmetry Span - A Right,20,l_flip
6261,Symmetry Span - A Right,14,l_flip
6262,Symmetry Span - A Right,17,right
6263,Symmetry Span - A Right,19,right
6266,Symmetry Span - A Right,27,right
6272,Symmetry Span - A Right,17,l_flip
6273,Symmetry Span - A Right,21,l_flip
6276,Symmetry Span - A Right,23,right
6278,Symmetry Span - A Right,22,right
6279,Symmetry Span - A Right,24,l_flip
6280,Symmetry Span - A Right,17,right
6281,Symmetry Span - A Right,25,right
6285,Symmetry Span - A Right,17,l_flip
6295,Symmetry Span - B Left,18,b left 11
6296,Symmetry Span - B Left,21,b 11 r_flip
6297,Symmetry Span - B Left,20,b left 12
6298,Symmetry Span - B Left,16,b 10 left
6300,Symmetry Span - B Left,24,b 3 r_flip
6301,Symmetry Span - B Left,20,b 3 left
6302,Symmetry Span - B Left,22,b 6 left
6303,Symmetry Span - B Left,25,b 5 left
6304,Symmetry Span - B Left,24,b 8 r_flip
6305,Symmetry Span - B Left,18,b 10 r_flip
6306,Symmetry Span - B Left,23,b 2 r_flip
6307,Symmetry Span - B Left,20,b 4 left
6308,Symmetry Span - B Left,20,b 9 left
6309,Symmetry Span - B Left,22,b 4 r_flip
6310,Symmetry Span - B Left,25,b 6 r_flip
6311,Symmetry Span - B Left,25,b 5 r_flip
6312,Symmetry Span - B Left,27,b 1 r_flip
6313,Symmetry Span - B Left,20,b 12 r_flip
6314,Symmetry Span - B Left,25,b 9 r_flip
6315,Symmetry Span - B Left,20,b 1 left
6316,Symmetry Span - B Left,20,b 8 left
6317,Symmetry Span - B Left,20,b 7 left
6318,Symmetry Span - B Left,23,b 7 r_flip
6319,Symmetry Span - B Left,22,b 2 left
6320,Symmetry Span - B Right,22,b 4 l_flip
6321,Symmetry Span - B Right,25,b 5 l_flip
6322,Symmetry Span - B Right,26,b 1 right
6323,Symmetry Span - B Right,22,b 1 l_flip
6324,Symmetry Span - B Right,19,b l_flip 11
6325,Symmetry Span - B Right,21,b 4 right
6326,Symmetry Span - B Right,23,b 2 right
6327,Symmetry Span - B Right,16,b 10 right
6328,Symmetry Span - B Right,23,b 6 l_flip
6329,Symmetry Span - B Right,25,b 9 right
6330,Symmetry Span - B Right,17,b right 12
6331,Symmetry Span - B Right,22,b 8 right
6332,Symmetry Span - B Right,23,b 3 right
6333,Symmetry Span - B Right,20,b 9 l_flip
6334,Symmetry Span - B Right,24,b 5 right
6335,Symmetry Span - B Right,17,b 10 l_flip
6336,Symmetry Span - B Right,21,b 7 l_flip
6337,Symmetry Span - B Right,22,b l_flip 12
6338,Symmetry Span - B Right,21,b 7 right
6339,Symmetry Span - B Right,25,b 6 right
6340,Symmetry Span - B Right,24,b 2 l_flip
6341,Symmetry Span - B Right,21,b 8 l_flip
6342,Symmetry Span - B Right,20,b 3 l_flip
6343,Symmetry Span - B Right,20,b right 11
6344,Symmetry Span - C Left,21,c 6 r_flip
6345,Symmetry Span - C Left,22,c 2 left
6346,Symmetry Span - C Left,22,c 3 r_flip
6347,Symmetry Span - C Left,21,c 9 left
6348,Symmetry Span - C Left,18,c 1 r_flip
