cue_id,img_txt,freq
8323,Accent,8.559
8326,Affect,"18,690"
8327,Attest,"1,226"
8328,Annoying,"13,329"
8329,Agile,631
8330,Agreeable,656
8331,Authoritative,"2,028"
8332,Altercation,147
8333,Attractive,"12,510"
8334,Australian,"13,068"
8335,Amorphous,454
8560,Apparition,300
10491,Articulation,421
8338,Basin,"2,140"
8340,Bright,"13,726"
8342,Bubbles,"2,055"
8343,Brave,"5,524"
8344,Caress,"1,125"
8345,Cobber,12
8346,Certify,848
8347,Celebrate,"3,175"
8349,Commemorate,566
8350,Continuous,"8,212"
8351,Clear,"77,302"
8352,Candid,647
8353,Consequence,"4,391"
8354,Consume,"2,830"
8355,Creep,"1,793"
8356,Calm,"6,300"
8357,Cabin,"3,130"
8358,Canonical,"1,510"
8359,Conflate,48
8360,Censure,536
8361,Conference,"51,735"
8362,Convention,"15,478"
8568,Cacophony,141
8363,Defence,"6,847"
8364,Discontinue,758
8365,Discuss,"30,217"
8367,Dance,"26,125"
8368,Distinct,"7,191"
8370,Distant,"6,078"
8371,Deliberate,"3,342"
8373,Digger,352
8374,Division,"35,084"
8375,Distract,"1,191"
8377,Doubtful,"1,911"
8378,Denote,979
8379,Draw,"26,592"
8380,Disapproval,613
8381,Deceive,"1,300"
8382,Desultory,81
8383,Disingenuous,529
8558,Diaphanous,33
8567,Din,"3,775"
8570,Dibs,333
8384,Engulf,172
8385,Endure,"1,860"
8386,Expel,536
8392,Extend,"9,373"
8393,Extravagant,380
8395,Effervescence,17
8396,Epistle,288
8397,Evocative,302
8398,Eloquent,887
8399,Elide,28
8400,Enervation,9
8555,Elocution,44
8564,Erstwhile,0
8569,Ephemeral,294
8401,Fortitude,519
8402,Frank,"34,023"
8403,Fortunate,"3,159"
8406,Friend,"81,053"
8407,Finite,"4,199"
8409,Funny,"36,714"
8410,Fluorescent,975
8411,Fast,"77,003"
8412,Famished,55
8413,Far,"176,812"
8414,Fluent,"1,891"
8415,Fatigue,"3,776"
8416,Fulgent,0
8417,Firm,"34,530"
8418,Fixed,"30,688"
8556,Fleeting,470
8562,Filmy,70
8419,Glib,343
8420,Gush,443
8423,Golden,"17,531"
8424,Gilt,374
8425,Glowing,"2,005"
8426,Humorous,"2,866"
8427,Hut,"1,868"
8428,Happiness,"8,685"
8429,Hungry,"6,300"
8430,Halcyon,299
8431,Hummock,0
10492,Indeterminate,498
8432,Insignificant,"2,403"
8433,Immortal,"4,124"
8434,Indicate,"22,492"
8435,Immature,"2,842"
8436,Illustrate,"3,107"
8437,Irritating,"2,247"
8438,Influence,"19,809"
8439,Imbroglio,34
8440,Insouciance,11
8441,Juvenile,"2,033"
8442,Jig,887
8443,Jumper,"5,765"
8445,Keep,"183,906"
8446,Kip,499
8447,Knoll,530
8448,Languid,55
8449,Language,"97,874"
8450,Lavish,508
8451,Lithe,201
8453,Limited,"63,816"
8454,Lucid,"4,178"
8455,Leisurely,432
8456,Luminous,480
8457,Lucky,"17,795"
8458,Letter,"58,299"
8459,Lassitude,29
8461,Measure,"19,777"
8463,Maintain,"27,327"
8464,Mellifluous,39
8465,Nostalgic,835
8466,Nonchalance,35
8467,Nefarious,608
8468,Novice,"5,242"
8470,Obtain,"25,096"
8471,Perceive,"3,388"
8472,Personable,300
8473,Prickling,22
8474,Present,"65,134"
8475,Protection,"32,877"
8476,Pull,"28,190"
8480,Part,"249,067"
8481,Perpetual,"1,916"
8482,Planned,"13,957"
8484,Pardon,"4,885"
8485,Place,"195,199"
8486,Premeditated,283
8487,Paramount,"4,799"
8554,Pageant,276
8557,Past,"89,390"
8565,Performance,"73,651"
8566,Penumbra,43
8572,Prevaricate,13
8488,Quantify,847
8490,Rotate,"3,347"
8491,Radiant,623
8492,Revere,508
8493,Refine,763
8494,Rest,"78,610"
8495,Roll,"21,720"
8496,Reject,"7,470"
8497,Result,"66,995"
8498,Retreat,"3,082"
8499,Room,"85,138"
8500,Strength,"25,721"
8501,Sidetrack,115
8503,Shape,"23,161"
8504,Stroke,"6,062"
8505,Security,"62,549"
8506,Speak,"53,714"
8507,Scorching,197
8508,Swallow,"3,184"
8509,Sink,"8,579"
8510,Share,"57,769"
8511,Soldier,"8,296"
8512,Still,"363,407"
8513,Spin,"10,683"
8514,Sit,"25,658"
8515,Sneak,"2,639"
8516,Space,"113,076"
8517,Sketch,"2,053"
8518,Spout,"1,085"
8519,Sense,"77,530"
8520,Singular,"2,062"
8521,Stretch,"9,424"
8522,Sweater,"1,314"
8523,Small,"158,742"
8524,Scintilla,36
8525,Suggestive,606
8526,Slow,"43,719"
8527,Sweet,"15,494"
8528,Shapeless,139
8529,Strine,0
8559,Spirit,"40,804"
8561,Separate,"36,232"
8571,Shadow,"17,543"
9541,Smooth,"13,504"
8530,Tasty,"2,008"
8531,Tingling,601
8532,Talk,"91,547"
8533,Tongue,"14,963"
8534,Take,"330,816"
8537,Tumble,568
8538,Trace,"8,554"
8539,Tradition,"13,864"
8540,Undying,376
8541,Unsure,"3,230"
8542,Unique,"24,825"
8543,Urn,259
8545,Underhanded,321
8546,Vase,540
8563,Vista,"3,346"
8547,Withdraw,"5,353"
8548,Wistful,186
8549,Withstand,"1,354"
8550,Witty,"2,411"
8551,Withering,589
8552,Weather,"21,328"
8553,Winsome,89
